,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
103049,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:57:29.875Z,2020-09-24T11:57:29.875Z
103050,rp,529,0x0007,1053882983,0x00000000,2020-09-24T11:57:30.102Z,2020-09-24T11:57:30.102Z
103051,rp,528,0x0007,3187225185,0x00000000,2020-09-24T11:57:30.103Z,2020-09-24T11:57:30.103Z
103052,gate,Safe,0x0001,false,0x00000000,2020-09-24T11:57:30.103Z,2020-09-24T11:57:30.103Z
103053,gate,Speed,0x000b,-30,0x00000000,2020-09-24T11:57:30.103Z,2020-09-24T11:57:30.103Z
103054,gate,Position,0x000b,8.7,0x00000000,2020-09-24T11:57:30.103Z,2020-09-24T11:57:30.103Z
103055,rp,527,0x0007,3198150414,0x00000000,2020-09-24T11:57:30.105Z,2020-09-24T11:57:30.105Z
103056,qc,DistanceX,0x000b,1.95216858387,0x00000000,2020-09-24T11:57:30.149Z,2020-09-24T11:57:30.149Z
103057,qc,DistanceAbs,0x000b,2.60208409195,0x00000000,2020-09-24T11:57:30.149Z,2020-09-24T11:57:30.149Z
103058,qc,ResultCode,0x0006,1.0,0x00000000,2020-09-24T11:57:30.149Z,2020-09-24T11:57:30.149Z
103059,qc,DistanceY,0x000b,1.7204300165200002,0x00000000,2020-09-24T11:57:30.149Z,2020-09-24T11:57:30.149Z
103060,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:57:30.175Z,2020-09-24T11:57:30.175Z
103061,rp,528,0x0007,3187235789,0x00000000,2020-09-24T11:57:30.353Z,2020-09-24T11:57:30.353Z
103062,rp,529,0x0007,1053889272,0x00000000,2020-09-24T11:57:30.353Z,2020-09-24T11:57:30.353Z
103063,rp,527,0x0007,3198141843,0x00000000,2020-09-24T11:57:30.356Z,2020-09-24T11:57:30.356Z
103064,gate,Position,0x000b,0.4,0x00000000,2020-09-24T11:57:30.403Z,2020-09-24T11:57:30.403Z
103065,gate,Safe,0x0001,true,0x00000000,2020-09-24T11:57:30.403Z,2020-09-24T11:57:30.403Z
103066,gate,Speed,0x000b,0,0x00000000,2020-09-24T11:57:30.403Z,2020-09-24T11:57:30.403Z
103067,qc,DistanceAbs,0x000b,2.60208409195,0x00000000,2020-09-24T11:57:30.449Z,2020-09-24T11:57:30.449Z
103068,qc,DistanceX,0x000b,1.95216858387,0x00000000,2020-09-24T11:57:30.449Z,2020-09-24T11:57:30.449Z
103069,qc,DistanceY,0x000b,1.7204300165200002,0x00000000,2020-09-24T11:57:30.449Z,2020-09-24T11:57:30.449Z
103070,qc,ResultCode,0x0006,1.0,0x00000000,2020-09-24T11:57:30.449Z,2020-09-24T11:57:30.449Z
103071,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:57:30.475Z,2020-09-24T11:57:30.475Z
103072,rp,529,0x0007,1053887591,0x00000000,2020-09-24T11:57:30.603Z,2020-09-24T11:57:30.603Z
103073,rp,528,0x0007,3187238922,0x00000000,2020-09-24T11:57:30.604Z,2020-09-24T11:57:30.604Z
103074,rp,527,0x0007,3198142363,0x00000000,2020-09-24T11:57:30.606Z,2020-09-24T11:57:30.606Z
103075,gate,Position,0x000b,0.3,0x00000000,2020-09-24T11:57:30.703Z,2020-09-24T11:57:30.703Z
103076,gate,Safe,0x0001,true,0x00000000,2020-09-24T11:57:30.703Z,2020-09-24T11:57:30.703Z
103077,gate,Speed,0x000b,0,0x00000000,2020-09-24T11:57:30.703Z,2020-09-24T11:57:30.703Z
103078,qc,ResultCode,0x0006,1.0,0x00000000,2020-09-24T11:57:30.749Z,2020-09-24T11:57:30.749Z
103079,qc,DistanceY,0x000b,1.7204300165200002,0x00000000,2020-09-24T11:57:30.749Z,2020-09-24T11:57:30.749Z
103080,qc,DistanceX,0x000b,1.95216858387,0x00000000,2020-09-24T11:57:30.749Z,2020-09-24T11:57:30.749Z
103081,qc,DistanceAbs,0x000b,2.60208409195,0x00000000,2020-09-24T11:57:30.749Z,2020-09-24T11:57:30.749Z
103082,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:57:30.775Z,2020-09-24T11:57:30.775Z
103083,rp,528,0x0007,3187233458,0x00000000,2020-09-24T11:57:30.854Z,2020-09-24T11:57:30.854Z
103084,rp,529,0x0007,1053886915,0x00000000,2020-09-24T11:57:30.854Z,2020-09-24T11:57:30.854Z
103085,rp,527,0x0007,3198143072,0x00000000,2020-09-24T11:57:30.857Z,2020-09-24T11:57:30.857Z
103086,gate,Speed,0x000b,0,0x00000000,2020-09-24T11:57:31.003Z,2020-09-24T11:57:31.003Z
103087,gate,Position,0x000b,0.3,0x00000000,2020-09-24T11:57:31.003Z,2020-09-24T11:57:31.003Z
103088,gate,Safe,0x0001,true,0x00000000,2020-09-24T11:57:31.003Z,2020-09-24T11:57:31.003Z
103089,qc,DistanceX,0x000b,1.95216858387,0x00000000,2020-09-24T11:57:31.049Z,2020-09-24T11:57:31.049Z
103090,qc,ResultCode,0x0006,1.0,0x00000000,2020-09-24T11:57:31.049Z,2020-09-24T11:57:31.049Z
103091,qc,DistanceY,0x000b,1.7204300165200002,0x00000000,2020-09-24T11:57:31.049Z,2020-09-24T11:57:31.049Z
103092,qc,DistanceAbs,0x000b,2.60208409195,0x00000000,2020-09-24T11:57:31.049Z,2020-09-24T11:57:31.049Z
103093,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:57:31.075Z,2020-09-24T11:57:31.075Z
103094,rp,529,0x0007,1053887664,0x00000000,2020-09-24T11:57:31.102Z,2020-09-24T11:57:31.102Z
