PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
1,0x000b,0.3,0x00000000,2020-09-24T12:01:26.340Z,2020-09-24T12:01:26.340Z
2,0x000b,0,0x00000000,2020-09-24T12:01:26.040Z,2020-09-24T12:01:26.040Z
2,0x000b,0,0x00000000,2020-09-24T12:01:26.340Z,2020-09-24T12:01:26.340Z
3,0x0001,true,0x00000000,2020-09-24T12:01:26.040Z,2020-09-24T12:01:26.040Z
3,0x0001,true,0x00000000,2020-09-24T12:01:26.340Z,2020-09-24T12:01:26.340Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:26.640Z,2020-09-24T12:01:26.640Z
2,0x000b,0,0x00000000,2020-09-24T12:01:26.640Z,2020-09-24T12:01:26.640Z
3,0x0001,true,0x00000000,2020-09-24T12:01:26.640Z,2020-09-24T12:01:26.640Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:26.940Z,2020-09-24T12:01:26.940Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:27.240Z,2020-09-24T12:01:27.240Z
2,0x000b,0,0x00000000,2020-09-24T12:01:26.940Z,2020-09-24T12:01:26.940Z
2,0x000b,0,0x00000000,2020-09-24T12:01:27.240Z,2020-09-24T12:01:27.240Z
3,0x0001,true,0x00000000,2020-09-24T12:01:26.940Z,2020-09-24T12:01:26.940Z
3,0x0001,true,0x00000000,2020-09-24T12:01:27.240Z,2020-09-24T12:01:27.240Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:27.540Z,2020-09-24T12:01:27.540Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:27.840Z,2020-09-24T12:01:27.840Z
2,0x000b,0,0x00000000,2020-09-24T12:01:27.540Z,2020-09-24T12:01:27.540Z
2,0x000b,0,0x00000000,2020-09-24T12:01:27.840Z,2020-09-24T12:01:27.840Z
3,0x0001,true,0x00000000,2020-09-24T12:01:27.540Z,2020-09-24T12:01:27.540Z
3,0x0001,true,0x00000000,2020-09-24T12:01:27.840Z,2020-09-24T12:01:27.840Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:28.140Z,2020-09-24T12:01:28.140Z
2,0x000b,0,0x00000000,2020-09-24T12:01:28.140Z,2020-09-24T12:01:28.140Z
3,0x0001,true,0x00000000,2020-09-24T12:01:28.140Z,2020-09-24T12:01:28.140Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:28.440Z,2020-09-24T12:01:28.440Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:28.740Z,2020-09-24T12:01:28.740Z
2,0x000b,0,0x00000000,2020-09-24T12:01:28.440Z,2020-09-24T12:01:28.440Z
2,0x000b,0,0x00000000,2020-09-24T12:01:28.740Z,2020-09-24T12:01:28.740Z
3,0x0001,true,0x00000000,2020-09-24T12:01:28.440Z,2020-09-24T12:01:28.440Z
3,0x0001,true,0x00000000,2020-09-24T12:01:28.740Z,2020-09-24T12:01:28.740Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:29.040Z,2020-09-24T12:01:29.040Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:29.340Z,2020-09-24T12:01:29.340Z
2,0x000b,0,0x00000000,2020-09-24T12:01:29.040Z,2020-09-24T12:01:29.040Z
2,0x000b,0,0x00000000,2020-09-24T12:01:29.340Z,2020-09-24T12:01:29.340Z
3,0x0001,true,0x00000000,2020-09-24T12:01:29.040Z,2020-09-24T12:01:29.040Z
3,0x0001,true,0x00000000,2020-09-24T12:01:29.340Z,2020-09-24T12:01:29.340Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:29.640Z,2020-09-24T12:01:29.640Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:29.940Z,2020-09-24T12:01:29.940Z
2,0x000b,0,0x00000000,2020-09-24T12:01:29.640Z,2020-09-24T12:01:29.640Z
2,0x000b,0,0x00000000,2020-09-24T12:01:29.940Z,2020-09-24T12:01:29.940Z
3,0x0001,true,0x00000000,2020-09-24T12:01:29.640Z,2020-09-24T12:01:29.640Z
3,0x0001,true,0x00000000,2020-09-24T12:01:29.940Z,2020-09-24T12:01:29.940Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:30.240Z,2020-09-24T12:01:30.240Z
2,0x000b,0,0x00000000,2020-09-24T12:01:30.240Z,2020-09-24T12:01:30.240Z
3,0x0001,true,0x00000000,2020-09-24T12:01:30.240Z,2020-09-24T12:01:30.240Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:30.540Z,2020-09-24T12:01:30.540Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:30.840Z,2020-09-24T12:01:30.840Z
2,0x000b,0,0x00000000,2020-09-24T12:01:30.540Z,2020-09-24T12:01:30.540Z
2,0x000b,0,0x00000000,2020-09-24T12:01:30.840Z,2020-09-24T12:01:30.840Z
3,0x0001,true,0x00000000,2020-09-24T12:01:30.540Z,2020-09-24T12:01:30.540Z
3,0x0001,true,0x00000000,2020-09-24T12:01:30.840Z,2020-09-24T12:01:30.840Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:31.140Z,2020-09-24T12:01:31.140Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:31.440Z,2020-09-24T12:01:31.440Z
2,0x000b,0,0x00000000,2020-09-24T12:01:31.140Z,2020-09-24T12:01:31.140Z
2,0x000b,0,0x00000000,2020-09-24T12:01:31.440Z,2020-09-24T12:01:31.440Z
3,0x0001,true,0x00000000,2020-09-24T12:01:31.140Z,2020-09-24T12:01:31.140Z
3,0x0001,true,0x00000000,2020-09-24T12:01:31.440Z,2020-09-24T12:01:31.440Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:31.740Z,2020-09-24T12:01:31.740Z
2,0x000b,0,0x00000000,2020-09-24T12:01:31.740Z,2020-09-24T12:01:31.740Z
3,0x0001,true,0x00000000,2020-09-24T12:01:31.740Z,2020-09-24T12:01:31.740Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:32.040Z,2020-09-24T12:01:32.040Z
1,0x000b,0.3,0x00000000,2020-09-24T12:01:32.340Z,2020-09-24T12:01:32.340Z
