PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
1,0x0007,3195670467,0x00000000,2020-09-24T12:02:25.603Z,2020-09-24T12:02:25.603Z
1,0x0007,3197841824,0x00000000,2020-09-24T12:02:25.855Z,2020-09-24T12:02:25.855Z
2,0x0007,3188296247,0x00000000,2020-09-24T12:02:25.605Z,2020-09-24T12:02:25.605Z
2,0x0007,3187441739,0x00000000,2020-09-24T12:02:25.858Z,2020-09-24T12:02:25.858Z
3,0x0007,1054041646,0x00000000,2020-09-24T12:02:25.608Z,2020-09-24T12:02:25.608Z
3,0x0007,1053903247,0x00000000,2020-09-24T12:02:25.858Z,2020-09-24T12:02:25.858Z
1,0x0007,3198147206,0x00000000,2020-09-24T12:02:26.106Z,2020-09-24T12:02:26.106Z
1,0x0007,3198141381,0x00000000,2020-09-24T12:02:26.354Z,2020-09-24T12:02:26.354Z
2,0x0007,3187237742,0x00000000,2020-09-24T12:02:26.109Z,2020-09-24T12:02:26.109Z
2,0x0007,3187228348,0x00000000,2020-09-24T12:02:26.357Z,2020-09-24T12:02:26.357Z
3,0x0007,1053885049,0x00000000,2020-09-24T12:02:26.109Z,2020-09-24T12:02:26.109Z
3,0x0007,1053890503,0x00000000,2020-09-24T12:02:26.359Z,2020-09-24T12:02:26.359Z
1,0x0007,3198141729,0x00000000,2020-09-24T12:02:26.603Z,2020-09-24T12:02:26.603Z
1,0x0007,3198143453,0x00000000,2020-09-24T12:02:26.853Z,2020-09-24T12:02:26.853Z
2,0x0007,3187229347,0x00000000,2020-09-24T12:02:26.605Z,2020-09-24T12:02:26.605Z
2,0x0007,3187232086,0x00000000,2020-09-24T12:02:26.855Z,2020-09-24T12:02:26.855Z
3,0x0007,1053890259,0x00000000,2020-09-24T12:02:26.605Z,2020-09-24T12:02:26.605Z
3,0x0007,1053887663,0x00000000,2020-09-24T12:02:26.858Z,2020-09-24T12:02:26.858Z
1,0x0007,3198143332,0x00000000,2020-09-24T12:02:27.106Z,2020-09-24T12:02:27.106Z
1,0x0007,3198143313,0x00000000,2020-09-24T12:02:27.354Z,2020-09-24T12:02:27.354Z
2,0x0007,3187232144,0x00000000,2020-09-24T12:02:27.109Z,2020-09-24T12:02:27.109Z
2,0x0007,3187230446,0x00000000,2020-09-24T12:02:27.359Z,2020-09-24T12:02:27.359Z
3,0x0007,1053888208,0x00000000,2020-09-24T12:02:27.111Z,2020-09-24T12:02:27.111Z
3,0x0007,1053766534,0x00000000,2020-09-24T12:02:27.359Z,2020-09-24T12:02:27.359Z
1,0x0007,3198141131,0x00000000,2020-09-24T12:02:27.607Z,2020-09-24T12:02:27.607Z
1,0x0007,3198141480,0x00000000,2020-09-24T12:02:27.855Z,2020-09-24T12:02:27.855Z
2,0x0007,3187159853,0x00000000,2020-09-24T12:02:27.607Z,2020-09-24T12:02:27.607Z
2,0x0007,3187136602,0x00000000,2020-09-24T12:02:27.855Z,2020-09-24T12:02:27.855Z
3,0x0007,1051953949,0x00000000,2020-09-24T12:02:27.610Z,2020-09-24T12:02:27.610Z
