,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
0,gate,Position,0x000b,22.8,0x00000000,2020-09-24T13:17:48.196Z,2020-09-24T13:17:48.196Z
1,gate,Speed,0x000b,-40,0x00000000,2020-09-24T13:17:48.196Z,2020-09-24T13:17:48.196Z
2,gate,Safe,0x0001,false,0x00000000,2020-09-24T13:17:48.196Z,2020-09-24T13:17:48.196Z
3,gate,Position,0x000b,12.3,0x00000000,2020-09-24T13:17:48.496Z,2020-09-24T13:17:48.496Z
4,gate,Speed,0x000b,-30,0x00000000,2020-09-24T13:17:48.496Z,2020-09-24T13:17:48.496Z
5,gate,Safe,0x0001,false,0x00000000,2020-09-24T13:17:48.496Z,2020-09-24T13:17:48.496Z
6,gate,Position,0x000b,2.1,0x00000000,2020-09-24T13:17:48.796Z,2020-09-24T13:17:48.796Z
7,gate,Speed,0x000b,-50,0x00000000,2020-09-24T13:17:48.796Z,2020-09-24T13:17:48.796Z
8,gate,Safe,0x0001,false,0x00000000,2020-09-24T13:17:48.796Z,2020-09-24T13:17:48.796Z
9,gate,Safe,0x0001,true,0x00000000,2020-09-24T13:17:49.096Z,2020-09-24T13:17:49.096Z
10,gate,Speed,0x000b,0,0x00000000,2020-09-24T13:17:49.096Z,2020-09-24T13:17:49.096Z
11,gate,Position,0x000b,0.2,0x00000000,2020-09-24T13:17:49.096Z,2020-09-24T13:17:49.096Z
12,gate,Position,0x000b,0.2,0x00000000,2020-09-24T13:17:49.396Z,2020-09-24T13:17:49.396Z
13,gate,Speed,0x000b,0,0x00000000,2020-09-24T13:17:49.396Z,2020-09-24T13:17:49.396Z
14,gate,Safe,0x0001,true,0x00000000,2020-09-24T13:17:49.396Z,2020-09-24T13:17:49.396Z
15,gate,Position,0x000b,0.3,0x00000000,2020-09-24T13:17:49.696Z,2020-09-24T13:17:49.696Z
16,gate,Speed,0x000b,0,0x00000000,2020-09-24T13:17:49.696Z,2020-09-24T13:17:49.696Z
17,gate,Safe,0x0001,true,0x00000000,2020-09-24T13:17:49.696Z,2020-09-24T13:17:49.696Z
18,gate,Safe,0x0001,true,0x00000000,2020-09-24T13:17:49.996Z,2020-09-24T13:17:49.996Z
19,gate,Position,0x000b,0.2,0x00000000,2020-09-24T13:17:49.996Z,2020-09-24T13:17:49.996Z
20,gate,Speed,0x000b,0,0x00000000,2020-09-24T13:17:49.996Z,2020-09-24T13:17:49.996Z
21,gate,Position,0x000b,0.2,0x00000000,2020-09-24T13:17:50.296Z,2020-09-24T13:17:50.296Z
22,gate,Speed,0x000b,0,0x00000000,2020-09-24T13:17:50.296Z,2020-09-24T13:17:50.296Z
23,gate,Safe,0x0001,true,0x00000000,2020-09-24T13:17:50.296Z,2020-09-24T13:17:50.296Z
24,gate,Position,0x000b,0.3,0x00000000,2020-09-24T13:17:50.596Z,2020-09-24T13:17:50.596Z
25,gate,Speed,0x000b,0,0x00000000,2020-09-24T13:17:50.596Z,2020-09-24T13:17:50.596Z
26,gate,Safe,0x0001,true,0x00000000,2020-09-24T13:17:50.596Z,2020-09-24T13:17:50.596Z
27,gate,Position,0x000b,0.2,0x00000000,2020-09-24T13:17:50.896Z,2020-09-24T13:17:50.896Z
28,gate,Speed,0x000b,0,0x00000000,2020-09-24T13:17:50.896Z,2020-09-24T13:17:50.896Z
29,gate,Safe,0x0001,true,0x00000000,2020-09-24T13:17:50.896Z,2020-09-24T13:17:50.896Z
30,qc,DistanceY,0x000b,0.21505375206500002,0x00000000,2020-09-24T13:17:50.951Z,2020-09-24T13:17:50.951Z
31,qc,DistanceX,0x000b,2.38598382473,0x00000000,2020-09-24T13:17:50.951Z,2020-09-24T13:17:50.951Z
32,qc,ResultCode,0x0006,1.0,0x00000000,2020-09-24T13:17:50.951Z,2020-09-24T13:17:50.951Z
33,qc,DistanceAbs,0x000b,2.3956558451,0x00000000,2020-09-24T13:17:50.951Z,2020-09-24T13:17:50.951Z
34,gate,Safe,0x0001,true,0x00000000,2020-09-24T13:17:51.196Z,2020-09-24T13:17:51.196Z
35,gate,Position,0x000b,0.2,0x00000000,2020-09-24T13:17:51.196Z,2020-09-24T13:17:51.196Z
36,gate,Speed,0x000b,0,0x00000000,2020-09-24T13:17:51.196Z,2020-09-24T13:17:51.196Z
37,qc,DistanceX,0x000b,2.38598382473,0x00000000,2020-09-24T13:17:51.251Z,2020-09-24T13:17:51.251Z
