PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
1,0x000b,2.3956558451,0x00000000,2020-09-24T13:17:50.951Z,2020-09-24T13:17:50.951Z
1,0x000b,2.3956558451,0x00000000,2020-09-24T13:17:51.251Z,2020-09-24T13:17:51.251Z
2,0x000b,2.38598382473,0x00000000,2020-09-24T13:17:50.951Z,2020-09-24T13:17:50.951Z
2,0x000b,2.38598382473,0x00000000,2020-09-24T13:17:51.251Z,2020-09-24T13:17:51.251Z
3,0x000b,0.215053752065,0x00000000,2020-09-24T13:17:50.951Z,2020-09-24T13:17:50.951Z
3,0x000b,0.215053752065,0x00000000,2020-09-24T13:17:51.251Z,2020-09-24T13:17:51.251Z
4,0x0006,1,0x00000000,2020-09-24T13:17:50.951Z,2020-09-24T13:17:50.951Z
4,0x0006,1,0x00000000,2020-09-24T13:17:51.251Z,2020-09-24T13:17:51.251Z
1,0x000b,2.3956558451,0x00000000,2020-09-24T13:17:51.551Z,2020-09-24T13:17:51.551Z
1,0x000b,2.3956558451,0x00000000,2020-09-24T13:17:51.851Z,2020-09-24T13:17:51.851Z
2,0x000b,2.38598382473,0x00000000,2020-09-24T13:17:51.551Z,2020-09-24T13:17:51.551Z
2,0x000b,2.38598382473,0x00000000,2020-09-24T13:17:51.851Z,2020-09-24T13:17:51.851Z
3,0x000b,0.215053752065,0x00000000,2020-09-24T13:17:51.551Z,2020-09-24T13:17:51.551Z
3,0x000b,0.215053752065,0x00000000,2020-09-24T13:17:51.851Z,2020-09-24T13:17:51.851Z
4,0x0006,1,0x00000000,2020-09-24T13:17:51.551Z,2020-09-24T13:17:51.551Z
4,0x0006,1,0x00000000,2020-09-24T13:17:51.851Z,2020-09-24T13:17:51.851Z
1,0x000b,2.3956558451,0x00000000,2020-09-24T13:17:52.151Z,2020-09-24T13:17:52.151Z
2,0x000b,2.38598382473,0x00000000,2020-09-24T13:17:52.151Z,2020-09-24T13:17:52.151Z
3,0x000b,0.215053752065,0x00000000,2020-09-24T13:17:52.151Z,2020-09-24T13:17:52.151Z
4,0x0006,1,0x00000000,2020-09-24T13:17:52.151Z,2020-09-24T13:17:52.151Z
1,0x000b,2.3956558451,0x00000000,2020-09-24T13:17:52.451Z,2020-09-24T13:17:52.451Z
1,0x000b,2.3956558451,0x00000000,2020-09-24T13:17:52.751Z,2020-09-24T13:17:52.751Z
2,0x000b,2.38598382473,0x00000000,2020-09-24T13:17:52.451Z,2020-09-24T13:17:52.451Z
2,0x000b,2.38598382473,0x00000000,2020-09-24T13:17:52.751Z,2020-09-24T13:17:52.751Z
3,0x000b,0.215053752065,0x00000000,2020-09-24T13:17:52.451Z,2020-09-24T13:17:52.451Z
3,0x000b,0.215053752065,0x00000000,2020-09-24T13:17:52.751Z,2020-09-24T13:17:52.751Z
4,0x0006,1,0x00000000,2020-09-24T13:17:52.451Z,2020-09-24T13:17:52.451Z
4,0x0006,1,0x00000000,2020-09-24T13:17:52.751Z,2020-09-24T13:17:52.751Z
1,0x000b,2.3956558451,0x00000000,2020-09-24T13:17:53.051Z,2020-09-24T13:17:53.051Z
1,0x000b,2.3956558451,0x00000000,2020-09-24T13:17:53.351Z,2020-09-24T13:17:53.351Z
2,0x000b,2.38598382473,0x00000000,2020-09-24T13:17:53.051Z,2020-09-24T13:17:53.051Z
