,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp,RobPos
92342,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:52:52.975Z,2020-09-24T11:52:52.975Z,0.0
92343,rp,529,0x0007,1053887120,0x00000000,2020-09-24T11:52:53.104Z,2020-09-24T11:52:53.104Z,0.0
92344,rp,528,0x0007,3187240183,0x00000000,2020-09-24T11:52:53.104Z,2020-09-24T11:52:53.104Z,0.0
92345,rp,527,0x0007,3198126842,0x00000000,2020-09-24T11:52:53.107Z,2020-09-24T11:52:53.107Z,0.0
92346,gate,Position,0x000b,19,0x00000000,2020-09-24T11:52:53.203Z,2020-09-24T11:52:53.203Z,0.0
92347,gate,Safe,0x0001,false,0x00000000,2020-09-24T11:52:53.203Z,2020-09-24T11:52:53.203Z,0.0
92348,gate,Speed,0x000b,-30,0x00000000,2020-09-24T11:52:53.203Z,2020-09-24T11:52:53.203Z,0.0
92349,qc,DistanceAbs,0x000b,0.887140787155,0x00000000,2020-09-24T11:52:53.249Z,2020-09-24T11:52:53.249Z,0.0
92350,qc,DistanceX,0x000b,0.21690762043,0x00000000,2020-09-24T11:52:53.249Z,2020-09-24T11:52:53.249Z,0.0
92351,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:52:53.249Z,2020-09-24T11:52:53.249Z,0.0
92352,qc,DistanceY,0x000b,0.860215008259,0x00000000,2020-09-24T11:52:53.249Z,2020-09-24T11:52:53.249Z,0.0
92353,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:52:53.275Z,2020-09-24T11:52:53.275Z,0.0
92354,rp,529,0x0007,1053887970,0x00000000,2020-09-24T11:52:53.354Z,2020-09-24T11:52:53.354Z,0.0
92355,rp,528,0x0007,3187230792,0x00000000,2020-09-24T11:52:53.357Z,2020-09-24T11:52:53.357Z,0.0
92356,rp,527,0x0007,3198141936,0x00000000,2020-09-24T11:52:53.360Z,2020-09-24T11:52:53.360Z,0.0
92357,gate,Position,0x000b,8.7,0x00000000,2020-09-24T11:52:53.503Z,2020-09-24T11:52:53.503Z,0.0
92358,gate,Speed,0x000b,-30,0x00000000,2020-09-24T11:52:53.503Z,2020-09-24T11:52:53.503Z,0.0
92359,gate,Safe,0x0001,false,0x00000000,2020-09-24T11:52:53.503Z,2020-09-24T11:52:53.503Z,0.0
92360,qc,DistanceX,0x000b,0.21690762043,0x00000000,2020-09-24T11:52:53.549Z,2020-09-24T11:52:53.549Z,0.0
92361,qc,DistanceY,0x000b,0.860215008259,0x00000000,2020-09-24T11:52:53.549Z,2020-09-24T11:52:53.549Z,0.0
92362,qc,DistanceAbs,0x000b,0.887140787155,0x00000000,2020-09-24T11:52:53.549Z,2020-09-24T11:52:53.549Z,0.0
92363,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:52:53.549Z,2020-09-24T11:52:53.549Z,0.0
92364,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:52:53.575Z,2020-09-24T11:52:53.575Z,0.0
92365,rp,529,0x0007,1053888052,0x00000000,2020-09-24T11:52:53.602Z,2020-09-24T11:52:53.602Z,0.0
92366,rp,528,0x0007,3187233053,0x00000000,2020-09-24T11:52:53.602Z,2020-09-24T11:52:53.602Z,0.0
92367,rp,527,0x0007,3198142690,0x00000000,2020-09-24T11:52:53.605Z,2020-09-24T11:52:53.605Z,0.0
92368,gate,Safe,0x0001,true,0x00000000,2020-09-24T11:52:53.803Z,2020-09-24T11:52:53.803Z,0.0
92369,gate,Speed,0x000b,0,0x00000000,2020-09-24T11:52:53.803Z,2020-09-24T11:52:53.803Z,0.0
92370,gate,Position,0x000b,0.3,0x00000000,2020-09-24T11:52:53.803Z,2020-09-24T11:52:53.803Z,0.0
92371,qc,DistanceY,0x000b,0.860215008259,0x00000000,2020-09-24T11:52:53.849Z,2020-09-24T11:52:53.849Z,0.0
92372,qc,DistanceX,0x000b,0.21690762043,0x00000000,2020-09-24T11:52:53.849Z,2020-09-24T11:52:53.849Z,0.0
92373,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:52:53.849Z,2020-09-24T11:52:53.849Z,0.0
