PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
1,0x0004,300,0x00000000,2020-09-24T12:44:24.359Z,2020-09-24T12:44:24.359Z
2,0x0004,363,0x00000000,2020-09-24T12:44:24.362Z,2020-09-24T12:44:24.362Z
3,0x0004,380,0x00000000,2020-09-24T12:44:24.364Z,2020-09-24T12:44:24.364Z
1,0x0004,414,0x00000000,2020-09-24T12:55:14.607Z,2020-09-24T12:55:14.607Z
2,0x0004,551,0x00000000,2020-09-24T12:55:14.609Z,2020-09-24T12:55:14.609Z
3,0x0004,584,0x00000000,2020-09-24T12:55:14.612Z,2020-09-24T12:55:14.612Z
1,0x0004,414,0x00000000,2020-09-24T12:59:43.132Z,2020-09-24T12:59:43.132Z
2,0x0004,551,0x00000000,2020-09-24T12:59:43.132Z,2020-09-24T12:59:43.132Z
3,0x0004,584,0x00000000,2020-09-24T12:59:43.135Z,2020-09-24T12:59:43.135Z
1,0x0004,810,0x00000000,2020-09-24T13:05:16.111Z,2020-09-24T13:05:16.111Z
2,0x0004,845,0x00000000,2020-09-24T13:05:16.111Z,2020-09-24T13:05:16.111Z
3,0x0004,914,0x00000000,2020-09-24T13:05:16.108Z,2020-09-24T13:05:16.108Z
1,0x0004,300,0x00000000,2020-09-24T13:15:31.864Z,2020-09-24T13:15:31.864Z
2,0x0004,363,0x00000000,2020-09-24T13:15:31.861Z,2020-09-24T13:15:31.861Z
3,0x0004,380,0x00000000,2020-09-24T13:15:31.859Z,2020-09-24T13:15:31.859Z
