,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
47190,store,DiscSize,0x0003,2,0x00000000,2020-09-24T10:53:46.725Z,2020-09-24T10:53:46.725Z
47191,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T10:53:46.767Z,2020-09-24T10:53:46.767Z
47192,qc,DistanceY,0x000b,0.860215008259,0x00000000,2020-09-24T10:53:46.767Z,2020-09-24T10:53:46.767Z
47193,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-09-24T10:53:46.767Z,2020-09-24T10:53:46.767Z
47194,qc,DistanceAbs,0x000b,0.963413474909,0x00000000,2020-09-24T10:53:46.767Z,2020-09-24T10:53:46.767Z
47195,rp,527,0x0007,3198147345,0x00000000,2020-09-24T10:53:46.852Z,2020-09-24T10:53:46.852Z
47196,rp,528,0x0007,3188626802,0x00000000,2020-09-24T10:53:46.857Z,2020-09-24T10:53:46.857Z
47197,rp,529,0x0007,1051185061,0x00000000,2020-09-24T10:53:46.858Z,2020-09-24T10:53:46.858Z
47198,gate,Safe,0x0001,false,0x00000000,2020-09-24T10:53:47.007Z,2020-09-24T10:53:47.007Z
47199,gate,Speed,0x000b,-30,0x00000000,2020-09-24T10:53:47.007Z,2020-09-24T10:53:47.007Z
47200,gate,Position,0x000b,36.8,0x00000000,2020-09-24T10:53:47.007Z,2020-09-24T10:53:47.007Z
47201,store,DiscSize,0x0003,2,0x00000000,2020-09-24T10:53:47.025Z,2020-09-24T10:53:47.025Z
47202,qc,DistanceAbs,0x000b,0.963413474909,0x00000000,2020-09-24T10:53:47.067Z,2020-09-24T10:53:47.067Z
47203,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-09-24T10:53:47.067Z,2020-09-24T10:53:47.067Z
47204,qc,DistanceY,0x000b,0.860215008259,0x00000000,2020-09-24T10:53:47.067Z,2020-09-24T10:53:47.067Z
47205,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T10:53:47.067Z,2020-09-24T10:53:47.067Z
47206,rp,527,0x0007,3198147379,0x00000000,2020-09-24T10:53:47.103Z,2020-09-24T10:53:47.103Z
47207,rp,528,0x0007,3188626064,0x00000000,2020-09-24T10:53:47.106Z,2020-09-24T10:53:47.106Z
47208,rp,529,0x0007,1051185453,0x00000000,2020-09-24T10:53:47.108Z,2020-09-24T10:53:47.108Z
47209,gate,Safe,0x0001,false,0x00000000,2020-09-24T10:53:47.307Z,2020-09-24T10:53:47.307Z
47210,gate,Position,0x000b,26.7,0x00000000,2020-09-24T10:53:47.307Z,2020-09-24T10:53:47.307Z
47211,gate,Speed,0x000b,-40,0x00000000,2020-09-24T10:53:47.307Z,2020-09-24T10:53:47.307Z
47212,store,DiscSize,0x0003,2,0x00000000,2020-09-24T10:53:47.325Z,2020-09-24T10:53:47.325Z
47213,rp,527,0x0007,3198147200,0x00000000,2020-09-24T10:53:47.354Z,2020-09-24T10:53:47.354Z
47214,rp,528,0x0007,3188625995,0x00000000,2020-09-24T10:53:47.357Z,2020-09-24T10:53:47.357Z
47215,rp,529,0x0007,1051185223,0x00000000,2020-09-24T10:53:47.359Z,2020-09-24T10:53:47.359Z
47216,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-09-24T10:53:47.367Z,2020-09-24T10:53:47.367Z
47217,qc,DistanceAbs,0x000b,0.963413474909,0x00000000,2020-09-24T10:53:47.367Z,2020-09-24T10:53:47.367Z
47218,qc,DistanceY,0x000b,0.860215008259,0x00000000,2020-09-24T10:53:47.367Z,2020-09-24T10:53:47.367Z
47219,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T10:53:47.367Z,2020-09-24T10:53:47.367Z
