PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
1,0x0006,0,0x00000000,2020-09-24T10:33:32.396Z,2020-09-24T10:33:32.396Z
2,0x000d,2020-09-24T10:33:32.396Z,0x00000000,2020-09-24T10:33:32.396Z,2020-09-24T10:33:32.396Z
2,0x000d,2020-09-24T10:33:32.646Z,0x00000000,2020-09-24T10:33:32.646Z,2020-09-24T10:33:32.646Z
2,0x000d,2020-09-24T10:33:32.898Z,0x00000000,2020-09-24T10:33:32.898Z,2020-09-24T10:33:32.898Z
2,0x000d,2020-09-24T10:33:33.148Z,0x00000000,2020-09-24T10:33:33.148Z,2020-09-24T10:33:33.148Z
2,0x000d,2020-09-24T10:33:33.404Z,0x00000000,2020-09-24T10:33:33.404Z,2020-09-24T10:33:33.404Z
2,0x000d,2020-09-24T10:33:33.646Z,0x00000000,2020-09-24T10:33:33.646Z,2020-09-24T10:33:33.646Z
2,0x000d,2020-09-24T10:33:33.896Z,0x00000000,2020-09-24T10:33:33.896Z,2020-09-24T10:33:33.896Z
2,0x000d,2020-09-24T10:33:34.146Z,0x00000000,2020-09-24T10:33:34.146Z,2020-09-24T10:33:34.146Z
2,0x000d,2020-09-24T10:33:34.396Z,0x00000000,2020-09-24T10:33:34.396Z,2020-09-24T10:33:34.396Z
2,0x000d,2020-09-24T10:33:34.646Z,0x00000000,2020-09-24T10:33:34.646Z,2020-09-24T10:33:34.646Z
2,0x000d,2020-09-24T10:33:34.896Z,0x00000000,2020-09-24T10:33:34.896Z,2020-09-24T10:33:34.896Z
2,0x000d,2020-09-24T10:33:35.146Z,0x00000000,2020-09-24T10:33:35.146Z,2020-09-24T10:33:35.146Z
2,0x000d,2020-09-24T10:33:35.396Z,0x00000000,2020-09-24T10:33:35.396Z,2020-09-24T10:33:35.396Z
2,0x000d,2020-09-24T10:33:35.646Z,0x00000000,2020-09-24T10:33:35.646Z,2020-09-24T10:33:35.646Z
2,0x000d,2020-09-24T10:33:35.896Z,0x00000000,2020-09-24T10:33:35.896Z,2020-09-24T10:33:35.896Z
