PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
1,0x0003,1,0x00000000,2020-09-24T10:32:52.725Z,2020-09-24T10:32:52.725Z
1,0x0003,1,0x00000000,2020-09-24T10:32:53.025Z,2020-09-24T10:32:53.025Z
1,0x0003,1,0x00000000,2020-09-24T10:32:53.325Z,2020-09-24T10:32:53.325Z
1,0x0003,1,0x00000000,2020-09-24T10:32:53.625Z,2020-09-24T10:32:53.625Z
1,0x0003,1,0x00000000,2020-09-24T10:32:53.925Z,2020-09-24T10:32:53.925Z
1,0x0003,0,0x00000000,2020-09-24T10:32:54.225Z,2020-09-24T10:32:54.225Z
1,0x0003,0,0x00000000,2020-09-24T10:32:54.525Z,2020-09-24T10:32:54.525Z
1,0x0003,0,0x00000000,2020-09-24T10:32:54.825Z,2020-09-24T10:32:54.825Z
1,0x0003,0,0x00000000,2020-09-24T10:32:55.125Z,2020-09-24T10:32:55.125Z
1,0x0003,0,0x00000000,2020-09-24T10:32:55.425Z,2020-09-24T10:32:55.425Z
1,0x0003,0,0x00000000,2020-09-24T10:32:55.725Z,2020-09-24T10:32:55.725Z
1,0x0003,0,0x00000000,2020-09-24T10:32:56.025Z,2020-09-24T10:32:56.025Z
1,0x0003,2,0x00000000,2020-09-24T10:32:56.325Z,2020-09-24T10:32:56.325Z
1,0x0003,2,0x00000000,2020-09-24T10:32:56.625Z,2020-09-24T10:32:56.625Z
1,0x0003,2,0x00000000,2020-09-24T10:32:56.925Z,2020-09-24T10:32:56.925Z
1,0x0003,2,0x00000000,2020-09-24T10:32:57.225Z,2020-09-24T10:32:57.225Z
1,0x0003,2,0x00000000,2020-09-24T10:32:57.525Z,2020-09-24T10:32:57.525Z
1,0x0003,2,0x00000000,2020-09-24T10:32:57.825Z,2020-09-24T10:32:57.825Z
1,0x0003,2,0x00000000,2020-09-24T10:32:58.125Z,2020-09-24T10:32:58.125Z
1,0x0003,2,0x00000000,2020-09-24T10:32:58.425Z,2020-09-24T10:32:58.425Z
1,0x0003,2,0x00000000,2020-09-24T10:32:58.725Z,2020-09-24T10:32:58.725Z
1,0x0003,2,0x00000000,2020-09-24T10:32:59.025Z,2020-09-24T10:32:59.025Z
1,0x0003,2,0x00000000,2020-09-24T10:32:59.325Z,2020-09-24T10:32:59.325Z
1,0x0003,2,0x00000000,2020-09-24T10:32:59.625Z,2020-09-24T10:32:59.625Z
1,0x0003,2,0x00000000,2020-09-24T10:32:59.925Z,2020-09-24T10:32:59.925Z
1,0x0003,2,0x00000000,2020-09-24T10:33:00.225Z,2020-09-24T10:33:00.225Z
1,0x0003,2,0x00000000,2020-09-24T10:33:00.525Z,2020-09-24T10:33:00.525Z
1,0x0003,2,0x00000000,2020-09-24T10:33:00.825Z,2020-09-24T10:33:00.825Z
1,0x0003,2,0x00000000,2020-09-24T10:33:01.125Z,2020-09-24T10:33:01.125Z
1,0x0003,2,0x00000000,2020-09-24T10:33:01.425Z,2020-09-24T10:33:01.425Z
1,0x0003,2,0x00000000,2020-09-24T10:33:01.725Z,2020-09-24T10:33:01.725Z
1,0x0003,2,0x00000000,2020-09-24T10:33:02.025Z,2020-09-24T10:33:02.025Z
1,0x0003,2,0x00000000,2020-09-24T10:33:02.325Z,2020-09-24T10:33:02.325Z
1,0x0003,2,0x00000000,2020-09-24T10:33:02.625Z,2020-09-24T10:33:02.625Z
1,0x0003,2,0x00000000,2020-09-24T10:33:02.925Z,2020-09-24T10:33:02.925Z
1,0x0003,2,0x00000000,2020-09-24T10:33:03.225Z,2020-09-24T10:33:03.225Z
1,0x0003,2,0x00000000,2020-09-24T10:33:03.525Z,2020-09-24T10:33:03.525Z
1,0x0003,2,0x00000000,2020-09-24T10:33:03.825Z,2020-09-24T10:33:03.825Z
1,0x0003,2,0x00000000,2020-09-24T10:33:04.125Z,2020-09-24T10:33:04.125Z
1,0x0003,2,0x00000000,2020-09-24T10:33:04.425Z,2020-09-24T10:33:04.425Z
1,0x0003,2,0x00000000,2020-09-24T10:33:04.725Z,2020-09-24T10:33:04.725Z
1,0x0003,2,0x00000000,2020-09-24T10:33:05.025Z,2020-09-24T10:33:05.025Z
1,0x0003,2,0x00000000,2020-09-24T10:33:05.325Z,2020-09-24T10:33:05.325Z
1,0x0003,0,0x00000000,2020-09-24T10:33:05.625Z,2020-09-24T10:33:05.625Z
1,0x0003,1,0x00000000,2020-09-24T10:33:05.925Z,2020-09-24T10:33:05.925Z
1,0x0003,1,0x00000000,2020-09-24T10:33:06.225Z,2020-09-24T10:33:06.225Z
1,0x0003,0,0x00000000,2020-09-24T10:33:06.525Z,2020-09-24T10:33:06.525Z
1,0x0003,0,0x00000000,2020-09-24T10:33:06.825Z,2020-09-24T10:33:06.825Z
1,0x0003,0,0x00000000,2020-09-24T10:33:07.125Z,2020-09-24T10:33:07.125Z
1,0x0003,0,0x00000000,2020-09-24T10:33:07.425Z,2020-09-24T10:33:07.425Z
1,0x0003,0,0x00000000,2020-09-24T10:33:07.725Z,2020-09-24T10:33:07.725Z
1,0x0003,0,0x00000000,2020-09-24T10:33:08.025Z,2020-09-24T10:33:08.025Z
1,0x0003,0,0x00000000,2020-09-24T10:33:08.325Z,2020-09-24T10:33:08.325Z
1,0x0003,1,0x00000000,2020-09-24T10:33:08.625Z,2020-09-24T10:33:08.625Z
1,0x0003,1,0x00000000,2020-09-24T10:33:08.925Z,2020-09-24T10:33:08.925Z
1,0x0003,1,0x00000000,2020-09-24T10:33:09.225Z,2020-09-24T10:33:09.225Z
