PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
1,0x0007,3196129896,0x00000000,2020-09-24T11:11:36.353Z,2020-09-24T11:11:36.353Z
1,0x0007,3197948501,0x00000000,2020-09-24T11:11:36.603Z,2020-09-24T11:11:36.603Z
2,0x0007,3188172833,0x00000000,2020-09-24T11:11:36.358Z,2020-09-24T11:11:36.358Z
2,0x0007,3187368113,0x00000000,2020-09-24T11:11:36.605Z,2020-09-24T11:11:36.605Z
3,0x0007,1054023648,0x00000000,2020-09-24T11:11:36.360Z,2020-09-24T11:11:36.360Z
3,0x0007,1053898142,0x00000000,2020-09-24T11:11:36.606Z,2020-09-24T11:11:36.606Z
1,0x0007,3198145956,0x00000000,2020-09-24T11:11:36.854Z,2020-09-24T11:11:36.854Z
1,0x0007,3198142006,0x00000000,2020-09-24T11:11:37.106Z,2020-09-24T11:11:37.106Z
2,0x0007,3187243592,0x00000000,2020-09-24T11:11:36.856Z,2020-09-24T11:11:36.856Z
2,0x0007,3187230974,0x00000000,2020-09-24T11:11:37.107Z,2020-09-24T11:11:37.107Z
3,0x0007,1053884499,0x00000000,2020-09-24T11:11:36.859Z,2020-09-24T11:11:36.859Z
3,0x0007,1053889321,0x00000000,2020-09-24T11:11:37.109Z,2020-09-24T11:11:37.109Z
1,0x0007,3198142476,0x00000000,2020-09-24T11:11:37.360Z,2020-09-24T11:11:37.360Z
1,0x0007,3198142684,0x00000000,2020-09-24T11:11:37.603Z,2020-09-24T11:11:37.603Z
2,0x0007,3187233763,0x00000000,2020-09-24T11:11:37.360Z,2020-09-24T11:11:37.360Z
2,0x0007,3187232703,0x00000000,2020-09-24T11:11:37.605Z,2020-09-24T11:11:37.605Z
3,0x0007,1053888782,0x00000000,2020-09-24T11:11:37.363Z,2020-09-24T11:11:37.363Z
3,0x0007,1053888445,0x00000000,2020-09-24T11:11:37.606Z,2020-09-24T11:11:37.606Z
1,0x0007,3198142816,0x00000000,2020-09-24T11:11:37.854Z,2020-09-24T11:11:37.854Z
1,0x0007,3198144575,0x00000000,2020-09-24T11:11:38.106Z,2020-09-24T11:11:38.106Z
2,0x0007,3187231849,0x00000000,2020-09-24T11:11:37.856Z,2020-09-24T11:11:37.856Z
2,0x0007,3187334151,0x00000000,2020-09-24T11:11:38.107Z,2020-09-24T11:11:38.107Z
3,0x0007,1053888355,0x00000000,2020-09-24T11:11:37.859Z,2020-09-24T11:11:37.859Z
3,0x0007,1053610565,0x00000000,2020-09-24T11:11:38.109Z,2020-09-24T11:11:38.109Z
1,0x0007,3198143724,0x00000000,2020-09-24T11:11:38.353Z,2020-09-24T11:11:38.353Z
1,0x0007,3198143936,0x00000000,2020-09-24T11:11:38.603Z,2020-09-24T11:11:38.603Z
2,0x0007,3187886105,0x00000000,2020-09-24T11:11:38.355Z,2020-09-24T11:11:38.355Z
2,0x0007,3188200501,0x00000000,2020-09-24T11:11:38.605Z,2020-09-24T11:11:38.605Z
3,0x0007,1051726712,0x00000000,2020-09-24T11:11:38.358Z,2020-09-24T11:11:38.358Z
3,0x0007,1051184780,0x00000000,2020-09-24T11:11:38.606Z,2020-09-24T11:11:38.606Z
1,0x0007,3198146494,0x00000000,2020-09-24T11:11:38.854Z,2020-09-24T11:11:38.854Z
1,0x0007,3198147053,0x00000000,2020-09-24T11:11:39.106Z,2020-09-24T11:11:39.106Z
2,0x0007,3188632350,0x00000000,2020-09-24T11:11:38.856Z,2020-09-24T11:11:38.856Z
2,0x0007,3188628756,0x00000000,2020-09-24T11:11:39.106Z,2020-09-24T11:11:39.106Z
