PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
1,0x000b,0.3,0x00000000,2020-10-12T09:08:30.980Z,2020-10-12T09:08:30.980Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:31.280Z,2020-10-12T09:08:31.280Z
2,0x0001,true,0x00000000,2020-10-12T09:08:30.980Z,2020-10-12T09:08:30.980Z
2,0x0001,true,0x00000000,2020-10-12T09:08:31.280Z,2020-10-12T09:08:31.280Z
3,0x000b,0,0x00000000,2020-10-12T09:08:30.980Z,2020-10-12T09:08:30.980Z
3,0x000b,0,0x00000000,2020-10-12T09:08:31.280Z,2020-10-12T09:08:31.280Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:31.580Z,2020-10-12T09:08:31.580Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:31.880Z,2020-10-12T09:08:31.880Z
2,0x0001,true,0x00000000,2020-10-12T09:08:31.580Z,2020-10-12T09:08:31.580Z
2,0x0001,true,0x00000000,2020-10-12T09:08:31.880Z,2020-10-12T09:08:31.880Z
3,0x000b,0,0x00000000,2020-10-12T09:08:31.580Z,2020-10-12T09:08:31.580Z
3,0x000b,0,0x00000000,2020-10-12T09:08:31.880Z,2020-10-12T09:08:31.880Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:32.180Z,2020-10-12T09:08:32.180Z
2,0x0001,true,0x00000000,2020-10-12T09:08:32.180Z,2020-10-12T09:08:32.180Z
3,0x000b,0,0x00000000,2020-10-12T09:08:32.180Z,2020-10-12T09:08:32.180Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:32.480Z,2020-10-12T09:08:32.480Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:32.780Z,2020-10-12T09:08:32.780Z
2,0x0001,true,0x00000000,2020-10-12T09:08:32.480Z,2020-10-12T09:08:32.480Z
2,0x0001,true,0x00000000,2020-10-12T09:08:32.780Z,2020-10-12T09:08:32.780Z
3,0x000b,0,0x00000000,2020-10-12T09:08:32.480Z,2020-10-12T09:08:32.480Z
3,0x000b,0,0x00000000,2020-10-12T09:08:32.780Z,2020-10-12T09:08:32.780Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:33.080Z,2020-10-12T09:08:33.080Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:33.380Z,2020-10-12T09:08:33.380Z
2,0x0001,true,0x00000000,2020-10-12T09:08:33.080Z,2020-10-12T09:08:33.080Z
2,0x0001,true,0x00000000,2020-10-12T09:08:33.380Z,2020-10-12T09:08:33.380Z
3,0x000b,0,0x00000000,2020-10-12T09:08:33.080Z,2020-10-12T09:08:33.080Z
3,0x000b,0,0x00000000,2020-10-12T09:08:33.380Z,2020-10-12T09:08:33.380Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:33.680Z,2020-10-12T09:08:33.680Z
2,0x0001,true,0x00000000,2020-10-12T09:08:33.680Z,2020-10-12T09:08:33.680Z
3,0x000b,0,0x00000000,2020-10-12T09:08:33.680Z,2020-10-12T09:08:33.680Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:33.980Z,2020-10-12T09:08:33.980Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:34.280Z,2020-10-12T09:08:34.280Z
2,0x0001,true,0x00000000,2020-10-12T09:08:33.980Z,2020-10-12T09:08:33.980Z
2,0x0001,true,0x00000000,2020-10-12T09:08:34.280Z,2020-10-12T09:08:34.280Z
3,0x000b,0,0x00000000,2020-10-12T09:08:33.980Z,2020-10-12T09:08:33.980Z
3,0x000b,0,0x00000000,2020-10-12T09:08:34.280Z,2020-10-12T09:08:34.280Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:34.580Z,2020-10-12T09:08:34.580Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:34.880Z,2020-10-12T09:08:34.880Z
2,0x0001,true,0x00000000,2020-10-12T09:08:34.580Z,2020-10-12T09:08:34.580Z
2,0x0001,true,0x00000000,2020-10-12T09:08:34.880Z,2020-10-12T09:08:34.880Z
3,0x000b,0,0x00000000,2020-10-12T09:08:34.580Z,2020-10-12T09:08:34.580Z
3,0x000b,0,0x00000000,2020-10-12T09:08:34.880Z,2020-10-12T09:08:34.880Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:35.180Z,2020-10-12T09:08:35.180Z
2,0x0001,true,0x00000000,2020-10-12T09:08:35.180Z,2020-10-12T09:08:35.180Z
3,0x000b,0,0x00000000,2020-10-12T09:08:35.180Z,2020-10-12T09:08:35.180Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:35.480Z,2020-10-12T09:08:35.480Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:35.780Z,2020-10-12T09:08:35.780Z
2,0x0001,true,0x00000000,2020-10-12T09:08:35.480Z,2020-10-12T09:08:35.480Z
2,0x0001,true,0x00000000,2020-10-12T09:08:35.780Z,2020-10-12T09:08:35.780Z
3,0x000b,0,0x00000000,2020-10-12T09:08:35.480Z,2020-10-12T09:08:35.480Z
3,0x000b,0,0x00000000,2020-10-12T09:08:35.780Z,2020-10-12T09:08:35.780Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:36.080Z,2020-10-12T09:08:36.080Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:36.380Z,2020-10-12T09:08:36.380Z
2,0x0001,true,0x00000000,2020-10-12T09:08:36.080Z,2020-10-12T09:08:36.080Z
2,0x0001,true,0x00000000,2020-10-12T09:08:36.380Z,2020-10-12T09:08:36.380Z
3,0x000b,0,0x00000000,2020-10-12T09:08:36.080Z,2020-10-12T09:08:36.080Z
3,0x000b,0,0x00000000,2020-10-12T09:08:36.380Z,2020-10-12T09:08:36.380Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:36.680Z,2020-10-12T09:08:36.680Z
2,0x0001,true,0x00000000,2020-10-12T09:08:36.680Z,2020-10-12T09:08:36.680Z
3,0x000b,0,0x00000000,2020-10-12T09:08:36.680Z,2020-10-12T09:08:36.680Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:36.980Z,2020-10-12T09:08:36.980Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:37.280Z,2020-10-12T09:08:37.280Z
2,0x0001,true,0x00000000,2020-10-12T09:08:36.980Z,2020-10-12T09:08:36.980Z
2,0x0001,true,0x00000000,2020-10-12T09:08:37.280Z,2020-10-12T09:08:37.280Z
3,0x000b,0,0x00000000,2020-10-12T09:08:36.980Z,2020-10-12T09:08:36.980Z
3,0x000b,0,0x00000000,2020-10-12T09:08:37.280Z,2020-10-12T09:08:37.280Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:37.580Z,2020-10-12T09:08:37.580Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:37.880Z,2020-10-12T09:08:37.880Z
2,0x0001,true,0x00000000,2020-10-12T09:08:37.580Z,2020-10-12T09:08:37.580Z
2,0x0001,true,0x00000000,2020-10-12T09:08:37.880Z,2020-10-12T09:08:37.880Z
3,0x000b,0,0x00000000,2020-10-12T09:08:37.580Z,2020-10-12T09:08:37.580Z
3,0x000b,0,0x00000000,2020-10-12T09:08:37.880Z,2020-10-12T09:08:37.880Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:38.180Z,2020-10-12T09:08:38.180Z
2,0x0001,true,0x00000000,2020-10-12T09:08:38.180Z,2020-10-12T09:08:38.180Z
3,0x000b,0,0x00000000,2020-10-12T09:08:38.180Z,2020-10-12T09:08:38.180Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:38.480Z,2020-10-12T09:08:38.480Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:38.780Z,2020-10-12T09:08:38.780Z
2,0x0001,true,0x00000000,2020-10-12T09:08:38.480Z,2020-10-12T09:08:38.480Z
2,0x0001,true,0x00000000,2020-10-12T09:08:38.780Z,2020-10-12T09:08:38.780Z
3,0x000b,0,0x00000000,2020-10-12T09:08:38.480Z,2020-10-12T09:08:38.480Z
3,0x000b,0,0x00000000,2020-10-12T09:08:38.780Z,2020-10-12T09:08:38.780Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:39.080Z,2020-10-12T09:08:39.080Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:39.380Z,2020-10-12T09:08:39.380Z
2,0x0001,true,0x00000000,2020-10-12T09:08:39.080Z,2020-10-12T09:08:39.080Z
2,0x0001,true,0x00000000,2020-10-12T09:08:39.380Z,2020-10-12T09:08:39.380Z
3,0x000b,0,0x00000000,2020-10-12T09:08:39.080Z,2020-10-12T09:08:39.080Z
3,0x000b,0,0x00000000,2020-10-12T09:08:39.380Z,2020-10-12T09:08:39.380Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:39.680Z,2020-10-12T09:08:39.680Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:39.980Z,2020-10-12T09:08:39.980Z
2,0x0001,true,0x00000000,2020-10-12T09:08:39.680Z,2020-10-12T09:08:39.680Z
2,0x0001,true,0x00000000,2020-10-12T09:08:39.980Z,2020-10-12T09:08:39.980Z
3,0x000b,0,0x00000000,2020-10-12T09:08:39.680Z,2020-10-12T09:08:39.680Z
3,0x000b,0,0x00000000,2020-10-12T09:08:39.980Z,2020-10-12T09:08:39.980Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:40.280Z,2020-10-12T09:08:40.280Z
2,0x0001,true,0x00000000,2020-10-12T09:08:40.280Z,2020-10-12T09:08:40.280Z
3,0x000b,0,0x00000000,2020-10-12T09:08:40.280Z,2020-10-12T09:08:40.280Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:40.580Z,2020-10-12T09:08:40.580Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:40.880Z,2020-10-12T09:08:40.880Z
2,0x0001,true,0x00000000,2020-10-12T09:08:40.580Z,2020-10-12T09:08:40.580Z
2,0x0001,true,0x00000000,2020-10-12T09:08:40.880Z,2020-10-12T09:08:40.880Z
3,0x000b,0,0x00000000,2020-10-12T09:08:40.580Z,2020-10-12T09:08:40.580Z
3,0x000b,0,0x00000000,2020-10-12T09:08:40.880Z,2020-10-12T09:08:40.880Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:41.180Z,2020-10-12T09:08:41.180Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:41.480Z,2020-10-12T09:08:41.480Z
2,0x0001,true,0x00000000,2020-10-12T09:08:41.180Z,2020-10-12T09:08:41.180Z
2,0x0001,true,0x00000000,2020-10-12T09:08:41.480Z,2020-10-12T09:08:41.480Z
3,0x000b,0,0x00000000,2020-10-12T09:08:41.180Z,2020-10-12T09:08:41.180Z
3,0x000b,0,0x00000000,2020-10-12T09:08:41.480Z,2020-10-12T09:08:41.480Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:41.780Z,2020-10-12T09:08:41.780Z
2,0x0001,true,0x00000000,2020-10-12T09:08:41.780Z,2020-10-12T09:08:41.780Z
3,0x000b,0,0x00000000,2020-10-12T09:08:41.780Z,2020-10-12T09:08:41.780Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:42.080Z,2020-10-12T09:08:42.080Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:42.380Z,2020-10-12T09:08:42.380Z
2,0x0001,true,0x00000000,2020-10-12T09:08:42.080Z,2020-10-12T09:08:42.080Z
2,0x0001,true,0x00000000,2020-10-12T09:08:42.380Z,2020-10-12T09:08:42.380Z
3,0x000b,0,0x00000000,2020-10-12T09:08:42.080Z,2020-10-12T09:08:42.080Z
3,0x000b,0,0x00000000,2020-10-12T09:08:42.380Z,2020-10-12T09:08:42.380Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:42.680Z,2020-10-12T09:08:42.680Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:42.980Z,2020-10-12T09:08:42.980Z
2,0x0001,true,0x00000000,2020-10-12T09:08:42.680Z,2020-10-12T09:08:42.680Z
2,0x0001,true,0x00000000,2020-10-12T09:08:42.980Z,2020-10-12T09:08:42.980Z
3,0x000b,0,0x00000000,2020-10-12T09:08:42.680Z,2020-10-12T09:08:42.680Z
3,0x000b,0,0x00000000,2020-10-12T09:08:42.980Z,2020-10-12T09:08:42.980Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:43.280Z,2020-10-12T09:08:43.280Z
2,0x0001,true,0x00000000,2020-10-12T09:08:43.280Z,2020-10-12T09:08:43.280Z
3,0x000b,0,0x00000000,2020-10-12T09:08:43.280Z,2020-10-12T09:08:43.280Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:43.580Z,2020-10-12T09:08:43.580Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:43.880Z,2020-10-12T09:08:43.880Z
2,0x0001,true,0x00000000,2020-10-12T09:08:43.580Z,2020-10-12T09:08:43.580Z
2,0x0001,true,0x00000000,2020-10-12T09:08:43.880Z,2020-10-12T09:08:43.880Z
3,0x000b,0,0x00000000,2020-10-12T09:08:43.580Z,2020-10-12T09:08:43.580Z
3,0x000b,0,0x00000000,2020-10-12T09:08:43.880Z,2020-10-12T09:08:43.880Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:44.180Z,2020-10-12T09:08:44.180Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:44.480Z,2020-10-12T09:08:44.480Z
2,0x0001,true,0x00000000,2020-10-12T09:08:44.180Z,2020-10-12T09:08:44.180Z
2,0x0001,true,0x00000000,2020-10-12T09:08:44.480Z,2020-10-12T09:08:44.480Z
3,0x000b,0,0x00000000,2020-10-12T09:08:44.180Z,2020-10-12T09:08:44.180Z
3,0x000b,0,0x00000000,2020-10-12T09:08:44.480Z,2020-10-12T09:08:44.480Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:44.780Z,2020-10-12T09:08:44.780Z
2,0x0001,true,0x00000000,2020-10-12T09:08:44.780Z,2020-10-12T09:08:44.780Z
3,0x000b,0,0x00000000,2020-10-12T09:08:44.780Z,2020-10-12T09:08:44.780Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:45.080Z,2020-10-12T09:08:45.080Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:45.380Z,2020-10-12T09:08:45.380Z
2,0x0001,true,0x00000000,2020-10-12T09:08:45.080Z,2020-10-12T09:08:45.080Z
2,0x0001,true,0x00000000,2020-10-12T09:08:45.380Z,2020-10-12T09:08:45.380Z
3,0x000b,0,0x00000000,2020-10-12T09:08:45.080Z,2020-10-12T09:08:45.080Z
3,0x000b,0,0x00000000,2020-10-12T09:08:45.380Z,2020-10-12T09:08:45.380Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:45.680Z,2020-10-12T09:08:45.680Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:45.980Z,2020-10-12T09:08:45.980Z
2,0x0001,true,0x00000000,2020-10-12T09:08:45.680Z,2020-10-12T09:08:45.680Z
2,0x0001,true,0x00000000,2020-10-12T09:08:45.980Z,2020-10-12T09:08:45.980Z
3,0x000b,0,0x00000000,2020-10-12T09:08:45.680Z,2020-10-12T09:08:45.680Z
3,0x000b,0,0x00000000,2020-10-12T09:08:45.980Z,2020-10-12T09:08:45.980Z
1,0x000b,0.3,0x00000000,2020-10-12T09:08:46.280Z,2020-10-12T09:08:46.280Z
2,0x0001,true,0x00000000,2020-10-12T09:08:46.280Z,2020-10-12T09:08:46.280Z
3,0x000b,0,0x00000000,2020-10-12T09:08:46.280Z,2020-10-12T09:08:46.280Z
1,0x000b,7.2,0x00000000,2020-10-12T09:08:46.580Z,2020-10-12T09:08:46.580Z
1,0x000b,23.1,0x00000000,2020-10-12T09:08:46.880Z,2020-10-12T09:08:46.880Z
2,0x0001,false,0x00000000,2020-10-12T09:08:46.580Z,2020-10-12T09:08:46.580Z
2,0x0001,false,0x00000000,2020-10-12T09:08:46.880Z,2020-10-12T09:08:46.880Z
3,0x000b,110,0x00000000,2020-10-12T09:08:46.580Z,2020-10-12T09:08:46.580Z
3,0x000b,40,0x00000000,2020-10-12T09:08:46.880Z,2020-10-12T09:08:46.880Z
1,0x000b,35.7,0x00000000,2020-10-12T09:08:47.180Z,2020-10-12T09:08:47.180Z
1,0x000b,48.3,0x00000000,2020-10-12T09:08:47.480Z,2020-10-12T09:08:47.480Z
2,0x0001,false,0x00000000,2020-10-12T09:08:47.180Z,2020-10-12T09:08:47.180Z
2,0x0001,false,0x00000000,2020-10-12T09:08:47.480Z,2020-10-12T09:08:47.480Z
3,0x000b,40,0x00000000,2020-10-12T09:08:47.180Z,2020-10-12T09:08:47.180Z
3,0x000b,60,0x00000000,2020-10-12T09:08:47.480Z,2020-10-12T09:08:47.480Z
1,0x000b,60.6,0x00000000,2020-10-12T09:08:47.780Z,2020-10-12T09:08:47.780Z
2,0x0001,false,0x00000000,2020-10-12T09:08:47.780Z,2020-10-12T09:08:47.780Z
3,0x000b,40,0x00000000,2020-10-12T09:08:47.780Z,2020-10-12T09:08:47.780Z
1,0x000b,73,0x00000000,2020-10-12T09:08:48.080Z,2020-10-12T09:08:48.080Z
1,0x000b,85.3,0x00000000,2020-10-12T09:08:48.380Z,2020-10-12T09:08:48.380Z
2,0x0001,false,0x00000000,2020-10-12T09:08:48.080Z,2020-10-12T09:08:48.080Z
2,0x0001,false,0x00000000,2020-10-12T09:08:48.380Z,2020-10-12T09:08:48.380Z
3,0x000b,50,0x00000000,2020-10-12T09:08:48.080Z,2020-10-12T09:08:48.080Z
3,0x000b,30,0x00000000,2020-10-12T09:08:48.380Z,2020-10-12T09:08:48.380Z
1,0x000b,97.7,0x00000000,2020-10-12T09:08:48.680Z,2020-10-12T09:08:48.680Z
1,0x000b,110,0x00000000,2020-10-12T09:08:48.980Z,2020-10-12T09:08:48.980Z
2,0x0001,false,0x00000000,2020-10-12T09:08:48.680Z,2020-10-12T09:08:48.680Z
2,0x0001,false,0x00000000,2020-10-12T09:08:48.980Z,2020-10-12T09:08:48.980Z
3,0x000b,50,0x00000000,2020-10-12T09:08:48.680Z,2020-10-12T09:08:48.680Z
3,0x000b,30,0x00000000,2020-10-12T09:08:48.980Z,2020-10-12T09:08:48.980Z
1,0x000b,122.5,0x00000000,2020-10-12T09:08:49.280Z,2020-10-12T09:08:49.280Z
2,0x0001,false,0x00000000,2020-10-12T09:08:49.280Z,2020-10-12T09:08:49.280Z
3,0x000b,50,0x00000000,2020-10-12T09:08:49.280Z,2020-10-12T09:08:49.280Z
1,0x000b,134.4,0x00000000,2020-10-12T09:08:49.580Z,2020-10-12T09:08:49.580Z
1,0x000b,146.5,0x00000000,2020-10-12T09:08:49.880Z,2020-10-12T09:08:49.880Z
2,0x0001,false,0x00000000,2020-10-12T09:08:49.580Z,2020-10-12T09:08:49.580Z
2,0x0001,false,0x00000000,2020-10-12T09:08:49.880Z,2020-10-12T09:08:49.880Z
3,0x000b,40,0x00000000,2020-10-12T09:08:49.580Z,2020-10-12T09:08:49.580Z
3,0x000b,30,0x00000000,2020-10-12T09:08:49.880Z,2020-10-12T09:08:49.880Z
1,0x000b,150.8,0x00000000,2020-10-12T09:08:50.180Z,2020-10-12T09:08:50.180Z
1,0x000b,150.8,0x00000000,2020-10-12T09:08:50.480Z,2020-10-12T09:08:50.480Z
2,0x0001,false,0x00000000,2020-10-12T09:08:50.180Z,2020-10-12T09:08:50.180Z
2,0x0001,false,0x00000000,2020-10-12T09:08:50.480Z,2020-10-12T09:08:50.480Z
3,0x000b,0,0x00000000,2020-10-12T09:08:50.180Z,2020-10-12T09:08:50.180Z
3,0x000b,0,0x00000000,2020-10-12T09:08:50.480Z,2020-10-12T09:08:50.480Z
1,0x000b,149.1,0x00000000,2020-10-12T09:08:50.780Z,2020-10-12T09:08:50.780Z
2,0x0001,false,0x00000000,2020-10-12T09:08:50.780Z,2020-10-12T09:08:50.780Z
3,0x000b,-50,0x00000000,2020-10-12T09:08:50.780Z,2020-10-12T09:08:50.780Z
1,0x000b,136.8,0x00000000,2020-10-12T09:08:51.080Z,2020-10-12T09:08:51.080Z
1,0x000b,126.7,0x00000000,2020-10-12T09:08:51.380Z,2020-10-12T09:08:51.380Z
2,0x0001,false,0x00000000,2020-10-12T09:08:51.080Z,2020-10-12T09:08:51.080Z
2,0x0001,false,0x00000000,2020-10-12T09:08:51.380Z,2020-10-12T09:08:51.380Z
3,0x000b,-30,0x00000000,2020-10-12T09:08:51.080Z,2020-10-12T09:08:51.080Z
3,0x000b,-40,0x00000000,2020-10-12T09:08:51.380Z,2020-10-12T09:08:51.380Z
1,0x000b,117,0x00000000,2020-10-12T09:08:51.680Z,2020-10-12T09:08:51.680Z
