,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
0,gate,Position,0x000b,0.3,0x00000000,2020-10-12T09:08:30.980Z,2020-10-12 09:07:35.980000+00:00
1,gate,Safe,0x0001,true,0x00000000,2020-10-12T09:08:30.980Z,2020-10-12 09:07:35.980000+00:00
2,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:08:30.980Z,2020-10-12 09:07:35.980000+00:00
3,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:08:31.280Z,2020-10-12 09:07:36.280000+00:00
4,gate,Position,0x000b,0.3,0x00000000,2020-10-12T09:08:31.280Z,2020-10-12 09:07:36.280000+00:00
5,gate,Safe,0x0001,true,0x00000000,2020-10-12T09:08:31.280Z,2020-10-12 09:07:36.280000+00:00
6,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:08:31.580Z,2020-10-12 09:07:36.580000+00:00
7,gate,Safe,0x0001,true,0x00000000,2020-10-12T09:08:31.580Z,2020-10-12 09:07:36.580000+00:00
8,gate,Position,0x000b,0.3,0x00000000,2020-10-12T09:08:31.580Z,2020-10-12 09:07:36.580000+00:00
9,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:08:31.880Z,2020-10-12 09:07:36.880000+00:00
10,gate,Safe,0x0001,true,0x00000000,2020-10-12T09:08:31.880Z,2020-10-12 09:07:36.880000+00:00
11,gate,Position,0x000b,0.3,0x00000000,2020-10-12T09:08:31.880Z,2020-10-12 09:07:36.880000+00:00
12,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:08:32.180Z,2020-10-12 09:07:37.180000+00:00
13,gate,Safe,0x0001,true,0x00000000,2020-10-12T09:08:32.180Z,2020-10-12 09:07:37.180000+00:00
14,gate,Position,0x000b,0.3,0x00000000,2020-10-12T09:08:32.180Z,2020-10-12 09:07:37.180000+00:00
15,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:08:32.480Z,2020-10-12 09:07:37.480000+00:00
16,gate,Position,0x000b,0.3,0x00000000,2020-10-12T09:08:32.480Z,2020-10-12 09:07:37.480000+00:00
17,gate,Safe,0x0001,true,0x00000000,2020-10-12T09:08:32.480Z,2020-10-12 09:07:37.480000+00:00
18,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:08:32.780Z,2020-10-12 09:07:37.780000+00:00
19,gate,Safe,0x0001,true,0x00000000,2020-10-12T09:08:32.780Z,2020-10-12 09:07:37.780000+00:00
20,gate,Position,0x000b,0.3,0x00000000,2020-10-12T09:08:32.780Z,2020-10-12 09:07:37.780000+00:00
21,gate,Position,0x000b,0.3,0x00000000,2020-10-12T09:08:33.080Z,2020-10-12 09:07:38.080000+00:00
22,gate,Safe,0x0001,true,0x00000000,2020-10-12T09:08:33.080Z,2020-10-12 09:07:38.080000+00:00
23,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:08:33.080Z,2020-10-12 09:07:38.080000+00:00
24,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-12T09:08:33.282Z,2020-10-12 09:07:38.282000+00:00
25,qc,DistanceAbs,0x000b,1.15948202665,0x00000000,2020-10-12T09:08:33.282Z,2020-10-12 09:07:38.282000+00:00
26,qc,DistanceY,0x000b,1.07526876032,0x00000000,2020-10-12T09:08:33.282Z,2020-10-12 09:07:38.282000+00:00
27,gate,Position,0x000b,0.3,0x00000000,2020-10-12T09:08:33.380Z,2020-10-12 09:07:38.380000+00:00
28,gate,Safe,0x0001,true,0x00000000,2020-10-12T09:08:33.380Z,2020-10-12 09:07:38.380000+00:00
29,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:08:33.380Z,2020-10-12 09:07:38.380000+00:00
30,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-12T09:08:33.582Z,2020-10-12 09:07:38.582000+00:00
31,qc,DistanceAbs,0x000b,1.15948202665,0x00000000,2020-10-12T09:08:33.582Z,2020-10-12 09:07:38.582000+00:00
32,qc,DistanceY,0x000b,1.07526876032,0x00000000,2020-10-12T09:08:33.582Z,2020-10-12 09:07:38.582000+00:00
33,gate,Position,0x000b,0.3,0x00000000,2020-10-12T09:08:33.680Z,2020-10-12 09:07:38.680000+00:00
34,gate,Safe,0x0001,true,0x00000000,2020-10-12T09:08:33.680Z,2020-10-12 09:07:38.680000+00:00
35,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:08:33.680Z,2020-10-12 09:07:38.680000+00:00
36,qc,DistanceY,0x000b,1.07526876032,0x00000000,2020-10-12T09:08:33.882Z,2020-10-12 09:07:38.882000+00:00
37,qc,DistanceAbs,0x000b,1.15948202665,0x00000000,2020-10-12T09:08:33.882Z,2020-10-12 09:07:38.882000+00:00
38,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-12T09:08:33.882Z,2020-10-12 09:07:38.882000+00:00
39,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:08:33.980Z,2020-10-12 09:07:38.980000+00:00
40,gate,Position,0x000b,0.3,0x00000000,2020-10-12T09:08:33.980Z,2020-10-12 09:07:38.980000+00:00
41,gate,Safe,0x0001,true,0x00000000,2020-10-12T09:08:33.980Z,2020-10-12 09:07:38.980000+00:00
42,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-12T09:08:34.182Z,2020-10-12 09:07:39.182000+00:00
43,qc,DistanceY,0x000b,1.07526876032,0x00000000,2020-10-12T09:08:34.182Z,2020-10-12 09:07:39.182000+00:00
44,qc,DistanceAbs,0x000b,1.15948202665,0x00000000,2020-10-12T09:08:34.182Z,2020-10-12 09:07:39.182000+00:00
45,gate,Position,0x000b,0.3,0x00000000,2020-10-12T09:08:34.280Z,2020-10-12 09:07:39.280000+00:00
46,gate,Safe,0x0001,true,0x00000000,2020-10-12T09:08:34.280Z,2020-10-12 09:07:39.280000+00:00
47,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:08:34.280Z,2020-10-12 09:07:39.280000+00:00
48,qc,DistanceY,0x000b,1.07526876032,0x00000000,2020-10-12T09:08:34.482Z,2020-10-12 09:07:39.482000+00:00
49,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-12T09:08:34.482Z,2020-10-12 09:07:39.482000+00:00
50,qc,DistanceAbs,0x000b,1.15948202665,0x00000000,2020-10-12T09:08:34.482Z,2020-10-12 09:07:39.482000+00:00
51,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:08:34.580Z,2020-10-12 09:07:39.580000+00:00
52,gate,Position,0x000b,0.3,0x00000000,2020-10-12T09:08:34.580Z,2020-10-12 09:07:39.580000+00:00
53,gate,Safe,0x0001,true,0x00000000,2020-10-12T09:08:34.580Z,2020-10-12 09:07:39.580000+00:00
54,qc,DistanceY,0x000b,1.07526876032,0x00000000,2020-10-12T09:08:34.782Z,2020-10-12 09:07:39.782000+00:00
55,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-12T09:08:34.782Z,2020-10-12 09:07:39.782000+00:00
56,qc,DistanceAbs,0x000b,1.15948202665,0x00000000,2020-10-12T09:08:34.782Z,2020-10-12 09:07:39.782000+00:00
57,gate,Safe,0x0001,true,0x00000000,2020-10-12T09:08:34.880Z,2020-10-12 09:07:39.880000+00:00
58,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:08:34.880Z,2020-10-12 09:07:39.880000+00:00
59,gate,Position,0x000b,0.3,0x00000000,2020-10-12T09:08:34.880Z,2020-10-12 09:07:39.880000+00:00
60,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-12T09:08:35.082Z,2020-10-12 09:07:40.082000+00:00
61,qc,DistanceY,0x000b,1.7204300165200002,0x00000000,2020-10-12T09:08:35.082Z,2020-10-12 09:07:40.082000+00:00
62,qc,DistanceAbs,0x000b,1.77428157431,0x00000000,2020-10-12T09:08:35.082Z,2020-10-12 09:07:40.082000+00:00
63,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:08:35.180Z,2020-10-12 09:07:40.180000+00:00
64,gate,Safe,0x0001,true,0x00000000,2020-10-12T09:08:35.180Z,2020-10-12 09:07:40.180000+00:00
65,gate,Position,0x000b,0.3,0x00000000,2020-10-12T09:08:35.180Z,2020-10-12 09:07:40.180000+00:00
66,qc,DistanceY,0x000b,1.7204300165200002,0x00000000,2020-10-12T09:08:35.382Z,2020-10-12 09:07:40.382000+00:00
67,qc,DistanceAbs,0x000b,1.77428157431,0x00000000,2020-10-12T09:08:35.382Z,2020-10-12 09:07:40.382000+00:00
68,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-12T09:08:35.382Z,2020-10-12 09:07:40.382000+00:00
69,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:08:35.480Z,2020-10-12 09:07:40.480000+00:00
70,gate,Safe,0x0001,true,0x00000000,2020-10-12T09:08:35.480Z,2020-10-12 09:07:40.480000+00:00
71,gate,Position,0x000b,0.3,0x00000000,2020-10-12T09:08:35.480Z,2020-10-12 09:07:40.480000+00:00
72,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-12T09:08:35.682Z,2020-10-12 09:07:40.682000+00:00
73,qc,DistanceY,0x000b,1.7204300165200002,0x00000000,2020-10-12T09:08:35.682Z,2020-10-12 09:07:40.682000+00:00
74,qc,DistanceAbs,0x000b,1.77428157431,0x00000000,2020-10-12T09:08:35.682Z,2020-10-12 09:07:40.682000+00:00
75,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:08:35.780Z,2020-10-12 09:07:40.780000+00:00
76,gate,Safe,0x0001,true,0x00000000,2020-10-12T09:08:35.780Z,2020-10-12 09:07:40.780000+00:00
77,gate,Position,0x000b,0.3,0x00000000,2020-10-12T09:08:35.780Z,2020-10-12 09:07:40.780000+00:00
78,qc,DistanceY,0x000b,1.7204300165200002,0x00000000,2020-10-12T09:08:35.982Z,2020-10-12 09:07:40.982000+00:00
79,qc,DistanceAbs,0x000b,1.77428157431,0x00000000,2020-10-12T09:08:35.982Z,2020-10-12 09:07:40.982000+00:00
80,qc,DistanceX,0x000b,0.43381524086,0x00000000,2020-10-12T09:08:35.982Z,2020-10-12 09:07:40.982000+00:00
81,gate,Speed,0x000b,0,0x00000000,2020-10-12T09:08:36.080Z,2020-10-12 09:07:41.080000+00:00
82,gate,Safe,0x0001,true,0x00000000,2020-10-12T09:08:36.080Z,2020-10-12 09:07:41.080000+00:00
83,gate,Position,0x000b,0.3,0x00000000,2020-10-12T09:08:36.080Z,2020-10-12 09:07:41.080000+00:00
