PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
1,0x000b,-30,0x00000000,2020-10-27T15:05:24.596Z,2020-10-27T15:05:24.596Z
1,0x000b,-30,0x00000000,2020-10-27T15:05:24.896Z,2020-10-27T15:05:24.896Z
2,0x0001,false,0x00000000,2020-10-27T15:05:24.596Z,2020-10-27T15:05:24.596Z
2,0x0001,false,0x00000000,2020-10-27T15:05:24.896Z,2020-10-27T15:05:24.896Z
3,0x000b,31.6,0x00000000,2020-10-27T15:05:24.596Z,2020-10-27T15:05:24.596Z
3,0x000b,21.2,0x00000000,2020-10-27T15:05:24.896Z,2020-10-27T15:05:24.896Z
1,0x000b,-40,0x00000000,2020-10-27T15:05:25.196Z,2020-10-27T15:05:25.196Z
1,0x000b,-50,0x00000000,2020-10-27T15:05:25.496Z,2020-10-27T15:05:25.496Z
2,0x0001,false,0x00000000,2020-10-27T15:05:25.196Z,2020-10-27T15:05:25.196Z
2,0x0001,true,0x00000000,2020-10-27T15:05:25.496Z,2020-10-27T15:05:25.496Z
3,0x000b,10.6,0x00000000,2020-10-27T15:05:25.196Z,2020-10-27T15:05:25.196Z
3,0x000b,0.4,0x00000000,2020-10-27T15:05:25.496Z,2020-10-27T15:05:25.496Z
1,0x000b,0,0x00000000,2020-10-27T15:05:25.796Z,2020-10-27T15:05:25.796Z
1,0x000b,0,0x00000000,2020-10-27T15:05:26.096Z,2020-10-27T15:05:26.096Z
2,0x0001,true,0x00000000,2020-10-27T15:05:25.796Z,2020-10-27T15:05:25.796Z
2,0x0001,true,0x00000000,2020-10-27T15:05:26.096Z,2020-10-27T15:05:26.096Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:25.796Z,2020-10-27T15:05:25.796Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:26.096Z,2020-10-27T15:05:26.096Z
1,0x000b,0,0x00000000,2020-10-27T15:05:26.396Z,2020-10-27T15:05:26.396Z
2,0x0001,true,0x00000000,2020-10-27T15:05:26.396Z,2020-10-27T15:05:26.396Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:26.396Z,2020-10-27T15:05:26.396Z
1,0x000b,0,0x00000000,2020-10-27T15:05:26.696Z,2020-10-27T15:05:26.696Z
1,0x000b,0,0x00000000,2020-10-27T15:05:26.996Z,2020-10-27T15:05:26.996Z
2,0x0001,true,0x00000000,2020-10-27T15:05:26.696Z,2020-10-27T15:05:26.696Z
2,0x0001,true,0x00000000,2020-10-27T15:05:26.996Z,2020-10-27T15:05:26.996Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:26.696Z,2020-10-27T15:05:26.696Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:26.996Z,2020-10-27T15:05:26.996Z
1,0x000b,0,0x00000000,2020-10-27T15:05:27.296Z,2020-10-27T15:05:27.296Z
1,0x000b,0,0x00000000,2020-10-27T15:05:27.596Z,2020-10-27T15:05:27.596Z
2,0x0001,true,0x00000000,2020-10-27T15:05:27.296Z,2020-10-27T15:05:27.296Z
2,0x0001,true,0x00000000,2020-10-27T15:05:27.596Z,2020-10-27T15:05:27.596Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:27.296Z,2020-10-27T15:05:27.296Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:27.596Z,2020-10-27T15:05:27.596Z
1,0x000b,0,0x00000000,2020-10-27T15:05:27.896Z,2020-10-27T15:05:27.896Z
2,0x0001,true,0x00000000,2020-10-27T15:05:27.896Z,2020-10-27T15:05:27.896Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:27.896Z,2020-10-27T15:05:27.896Z
1,0x000b,0,0x00000000,2020-10-27T15:05:28.196Z,2020-10-27T15:05:28.196Z
1,0x000b,0,0x00000000,2020-10-27T15:05:28.496Z,2020-10-27T15:05:28.496Z
2,0x0001,true,0x00000000,2020-10-27T15:05:28.196Z,2020-10-27T15:05:28.196Z
2,0x0001,true,0x00000000,2020-10-27T15:05:28.496Z,2020-10-27T15:05:28.496Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:28.196Z,2020-10-27T15:05:28.196Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:28.496Z,2020-10-27T15:05:28.496Z
1,0x000b,0,0x00000000,2020-10-27T15:05:28.796Z,2020-10-27T15:05:28.796Z
1,0x000b,0,0x00000000,2020-10-27T15:05:29.096Z,2020-10-27T15:05:29.096Z
2,0x0001,true,0x00000000,2020-10-27T15:05:28.796Z,2020-10-27T15:05:28.796Z
2,0x0001,true,0x00000000,2020-10-27T15:05:29.096Z,2020-10-27T15:05:29.096Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:28.796Z,2020-10-27T15:05:28.796Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:29.096Z,2020-10-27T15:05:29.096Z
1,0x000b,0,0x00000000,2020-10-27T15:05:29.396Z,2020-10-27T15:05:29.396Z
2,0x0001,true,0x00000000,2020-10-27T15:05:29.396Z,2020-10-27T15:05:29.396Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:29.396Z,2020-10-27T15:05:29.396Z
1,0x000b,0,0x00000000,2020-10-27T15:05:29.696Z,2020-10-27T15:05:29.696Z
1,0x000b,0,0x00000000,2020-10-27T15:05:29.996Z,2020-10-27T15:05:29.996Z
2,0x0001,true,0x00000000,2020-10-27T15:05:29.696Z,2020-10-27T15:05:29.696Z
2,0x0001,true,0x00000000,2020-10-27T15:05:29.996Z,2020-10-27T15:05:29.996Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:29.696Z,2020-10-27T15:05:29.696Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:29.996Z,2020-10-27T15:05:29.996Z
1,0x000b,0,0x00000000,2020-10-27T15:05:30.296Z,2020-10-27T15:05:30.296Z
1,0x000b,0,0x00000000,2020-10-27T15:05:30.596Z,2020-10-27T15:05:30.596Z
2,0x0001,true,0x00000000,2020-10-27T15:05:30.296Z,2020-10-27T15:05:30.296Z
2,0x0001,true,0x00000000,2020-10-27T15:05:30.596Z,2020-10-27T15:05:30.596Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:30.296Z,2020-10-27T15:05:30.296Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:30.596Z,2020-10-27T15:05:30.596Z
1,0x000b,0,0x00000000,2020-10-27T15:05:30.896Z,2020-10-27T15:05:30.896Z
2,0x0001,true,0x00000000,2020-10-27T15:05:30.896Z,2020-10-27T15:05:30.896Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:30.896Z,2020-10-27T15:05:30.896Z
1,0x000b,0,0x00000000,2020-10-27T15:05:31.196Z,2020-10-27T15:05:31.196Z
1,0x000b,0,0x00000000,2020-10-27T15:05:31.496Z,2020-10-27T15:05:31.496Z
2,0x0001,true,0x00000000,2020-10-27T15:05:31.196Z,2020-10-27T15:05:31.196Z
2,0x0001,true,0x00000000,2020-10-27T15:05:31.496Z,2020-10-27T15:05:31.496Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:31.196Z,2020-10-27T15:05:31.196Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:31.496Z,2020-10-27T15:05:31.496Z
1,0x000b,0,0x00000000,2020-10-27T15:05:31.796Z,2020-10-27T15:05:31.796Z
1,0x000b,0,0x00000000,2020-10-27T15:05:32.096Z,2020-10-27T15:05:32.096Z
2,0x0001,true,0x00000000,2020-10-27T15:05:31.796Z,2020-10-27T15:05:31.796Z
2,0x0001,true,0x00000000,2020-10-27T15:05:32.096Z,2020-10-27T15:05:32.096Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:31.796Z,2020-10-27T15:05:31.796Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:32.096Z,2020-10-27T15:05:32.096Z
1,0x000b,0,0x00000000,2020-10-27T15:05:32.396Z,2020-10-27T15:05:32.396Z
2,0x0001,true,0x00000000,2020-10-27T15:05:32.396Z,2020-10-27T15:05:32.396Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:32.396Z,2020-10-27T15:05:32.396Z
1,0x000b,0,0x00000000,2020-10-27T15:05:32.696Z,2020-10-27T15:05:32.696Z
1,0x000b,0,0x00000000,2020-10-27T15:05:32.996Z,2020-10-27T15:05:32.996Z
2,0x0001,true,0x00000000,2020-10-27T15:05:32.696Z,2020-10-27T15:05:32.696Z
2,0x0001,true,0x00000000,2020-10-27T15:05:32.996Z,2020-10-27T15:05:32.996Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:32.696Z,2020-10-27T15:05:32.696Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:32.996Z,2020-10-27T15:05:32.996Z
1,0x000b,0,0x00000000,2020-10-27T15:05:33.296Z,2020-10-27T15:05:33.296Z
1,0x000b,0,0x00000000,2020-10-27T15:05:33.596Z,2020-10-27T15:05:33.596Z
2,0x0001,true,0x00000000,2020-10-27T15:05:33.296Z,2020-10-27T15:05:33.296Z
2,0x0001,true,0x00000000,2020-10-27T15:05:33.596Z,2020-10-27T15:05:33.596Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:33.296Z,2020-10-27T15:05:33.296Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:33.596Z,2020-10-27T15:05:33.596Z
1,0x000b,0,0x00000000,2020-10-27T15:05:33.896Z,2020-10-27T15:05:33.896Z
2,0x0001,true,0x00000000,2020-10-27T15:05:33.896Z,2020-10-27T15:05:33.896Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:33.896Z,2020-10-27T15:05:33.896Z
1,0x000b,0,0x00000000,2020-10-27T15:05:34.196Z,2020-10-27T15:05:34.196Z
1,0x000b,0,0x00000000,2020-10-27T15:05:34.496Z,2020-10-27T15:05:34.496Z
2,0x0001,true,0x00000000,2020-10-27T15:05:34.196Z,2020-10-27T15:05:34.196Z
2,0x0001,true,0x00000000,2020-10-27T15:05:34.496Z,2020-10-27T15:05:34.496Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:34.196Z,2020-10-27T15:05:34.196Z
3,0x000b,0.3,0x00000000,2020-10-27T15:05:34.496Z,2020-10-27T15:05:34.496Z
