PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
1,0x0007,3198147215,0x00000000,2020-10-30T10:34:48.112Z,2020-10-30T10:34:48.112Z
1,0x0007,3198147206,0x00000000,2020-10-30T10:34:48.360Z,2020-10-30T10:34:48.360Z
2,0x0007,3188626366,0x00000000,2020-10-30T10:34:48.115Z,2020-10-30T10:34:48.115Z
2,0x0007,3188626167,0x00000000,2020-10-30T10:34:48.363Z,2020-10-30T10:34:48.363Z
3,0x0007,1051184545,0x00000000,2020-10-30T10:34:48.117Z,2020-10-30T10:34:48.117Z
3,0x0007,1051183764,0x00000000,2020-10-30T10:34:48.365Z,2020-10-30T10:34:48.365Z
1,0x0007,3198142867,0x00000000,2020-10-30T10:34:48.611Z,2020-10-30T10:34:48.611Z
1,0x0007,3198141531,0x00000000,2020-10-30T10:34:48.862Z,2020-10-30T10:34:48.862Z
2,0x0007,3188326656,0x00000000,2020-10-30T10:34:48.614Z,2020-10-30T10:34:48.614Z
2,0x0007,3188324839,0x00000000,2020-10-30T10:34:48.864Z,2020-10-30T10:34:48.864Z
3,0x0007,1051642254,0x00000000,2020-10-30T10:34:48.616Z,2020-10-30T10:34:48.616Z
3,0x0007,1052750007,0x00000000,2020-10-30T10:34:48.864Z,2020-10-30T10:34:48.864Z
1,0x0007,3198142768,0x00000000,2020-10-30T10:34:49.112Z,2020-10-30T10:34:49.112Z
1,0x0007,3197530529,0x00000000,2020-10-30T10:34:49.362Z,2020-10-30T10:34:49.362Z
2,0x0007,3188327828,0x00000000,2020-10-30T10:34:49.115Z,2020-10-30T10:34:49.115Z
2,0x0007,3189157662,0x00000000,2020-10-30T10:34:49.365Z,2020-10-30T10:34:49.365Z
3,0x0007,1054254194,0x00000000,2020-10-30T10:34:49.115Z,2020-10-30T10:34:49.115Z
3,0x0007,1054406851,0x00000000,2020-10-30T10:34:49.365Z,2020-10-30T10:34:49.365Z
1,0x0007,3194297642,0x00000000,2020-10-30T10:34:49.611Z,2020-10-30T10:34:49.611Z
1,0x0007,3188218549,0x00000000,2020-10-30T10:34:49.861Z,2020-10-30T10:34:49.861Z
2,0x0007,3191151002,0x00000000,2020-10-30T10:34:49.613Z,2020-10-30T10:34:49.613Z
2,0x0007,3191321303,0x00000000,2020-10-30T10:34:49.863Z,2020-10-30T10:34:49.863Z
3,0x0007,1054735712,0x00000000,2020-10-30T10:34:49.613Z,2020-10-30T10:34:49.613Z
3,0x0007,1054738220,0x00000000,2020-10-30T10:34:49.863Z,2020-10-30T10:34:49.863Z
1,0x0007,3183568760,0x00000000,2020-10-30T10:34:50.111Z,2020-10-30T10:34:50.111Z
1,0x0007,3182513863,0x00000000,2020-10-30T10:34:50.362Z,2020-10-30T10:34:50.362Z
2,0x0007,3190439063,0x00000000,2020-10-30T10:34:50.112Z,2020-10-30T10:34:50.112Z
2,0x0007,3190288097,0x00000000,2020-10-30T10:34:50.364Z,2020-10-30T10:34:50.364Z
3,0x0007,1054481764,0x00000000,2020-10-30T10:34:50.114Z,2020-10-30T10:34:50.114Z
3,0x0007,1054420495,0x00000000,2020-10-30T10:34:50.364Z,2020-10-30T10:34:50.364Z
1,0x0007,3178567513,0x00000000,2020-10-30T10:34:50.612Z,2020-10-30T10:34:50.612Z
1,0x0007,3150013174,0x00000000,2020-10-30T10:34:50.860Z,2020-10-30T10:34:50.860Z
2,0x0007,3190778927,0x00000000,2020-10-30T10:34:50.612Z,2020-10-30T10:34:50.612Z
2,0x0007,3190919900,0x00000000,2020-10-30T10:34:50.862Z,2020-10-30T10:34:50.862Z
3,0x0007,1054424688,0x00000000,2020-10-30T10:34:50.615Z,2020-10-30T10:34:50.615Z
3,0x0007,1054426180,0x00000000,2020-10-30T10:34:50.863Z,2020-10-30T10:34:50.863Z
1,0x0007,1022483470,0x00000000,2020-10-30T10:34:51.113Z,2020-10-30T10:34:51.113Z
1,0x0007,1025354666,0x00000000,2020-10-30T10:34:51.361Z,2020-10-30T10:34:51.361Z
2,0x0007,3190389350,0x00000000,2020-10-30T10:34:51.116Z,2020-10-30T10:34:51.116Z
2,0x0007,3190222510,0x00000000,2020-10-30T10:34:51.363Z,2020-10-30T10:34:51.363Z
3,0x0007,1054422583,0x00000000,2020-10-30T10:34:51.116Z,2020-10-30T10:34:51.116Z
3,0x0007,1054404250,0x00000000,2020-10-30T10:34:51.363Z,2020-10-30T10:34:51.363Z
1,0x0007,1035512765,0x00000000,2020-10-30T10:34:51.611Z,2020-10-30T10:34:51.611Z
1,0x0007,1041963968,0x00000000,2020-10-30T10:34:51.862Z,2020-10-30T10:34:51.862Z
2,0x0007,3189874626,0x00000000,2020-10-30T10:34:51.614Z,2020-10-30T10:34:51.614Z
2,0x0007,3189466655,0x00000000,2020-10-30T10:34:51.864Z,2020-10-30T10:34:51.864Z
3,0x0007,1054191647,0x00000000,2020-10-30T10:34:51.614Z,2020-10-30T10:34:51.614Z
3,0x0007,1053925372,0x00000000,2020-10-30T10:34:51.864Z,2020-10-30T10:34:51.864Z
1,0x0007,1046064267,0x00000000,2020-10-30T10:34:52.112Z,2020-10-30T10:34:52.112Z
1,0x0007,1049373935,0x00000000,2020-10-30T10:34:52.360Z,2020-10-30T10:34:52.360Z
2,0x0007,3189052834,0x00000000,2020-10-30T10:34:52.115Z,2020-10-30T10:34:52.115Z
2,0x0007,3188648389,0x00000000,2020-10-30T10:34:52.363Z,2020-10-30T10:34:52.363Z
3,0x0007,1053670022,0x00000000,2020-10-30T10:34:52.115Z,2020-10-30T10:34:52.115Z
3,0x0007,1053412292,0x00000000,2020-10-30T10:34:52.365Z,2020-10-30T10:34:52.365Z
1,0x0007,1050953982,0x00000000,2020-10-30T10:34:52.610Z,2020-10-30T10:34:52.610Z
1,0x0007,1050960118,0x00000000,2020-10-30T10:34:52.861Z,2020-10-30T10:34:52.861Z
2,0x0007,3188351282,0x00000000,2020-10-30T10:34:52.611Z,2020-10-30T10:34:52.611Z
2,0x0007,3188311867,0x00000000,2020-10-30T10:34:52.863Z,2020-10-30T10:34:52.863Z
3,0x0007,1053216920,0x00000000,2020-10-30T10:34:52.613Z,2020-10-30T10:34:52.613Z
3,0x0007,1052370950,0x00000000,2020-10-30T10:34:52.863Z,2020-10-30T10:34:52.863Z
1,0x0007,1050941263,0x00000000,2020-10-30T10:34:53.111Z,2020-10-30T10:34:53.111Z
1,0x0007,1050943689,0x00000000,2020-10-30T10:34:53.362Z,2020-10-30T10:34:53.362Z
2,0x0007,3188276619,0x00000000,2020-10-30T10:34:53.114Z,2020-10-30T10:34:53.114Z
2,0x0007,3188272321,0x00000000,2020-10-30T10:34:53.365Z,2020-10-30T10:34:53.365Z
3,0x0007,1051690450,0x00000000,2020-10-30T10:34:53.114Z,2020-10-30T10:34:53.114Z
3,0x0007,1051694279,0x00000000,2020-10-30T10:34:53.367Z,2020-10-30T10:34:53.367Z
1,0x0007,1050944328,0x00000000,2020-10-30T10:34:53.611Z,2020-10-30T10:34:53.611Z
1,0x0007,1050943588,0x00000000,2020-10-30T10:34:53.861Z,2020-10-30T10:34:53.861Z
2,0x0007,3188270957,0x00000000,2020-10-30T10:34:53.613Z,2020-10-30T10:34:53.613Z
2,0x0007,3188273526,0x00000000,2020-10-30T10:34:53.863Z,2020-10-30T10:34:53.863Z
