PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
1,0x0001,true,0x00000000,2020-10-30T11:31:57.614Z,2020-10-30T11:31:57.614Z
2,0x0004,0,0x00000000,2020-10-30T11:31:57.616Z,2020-10-30T11:31:57.616Z
2,0x0004,1,0x00000000,2020-10-30T11:32:00.370Z,2020-10-30T11:32:00.370Z
1,0x0001,false,0x00000000,2020-10-30T11:32:01.115Z,2020-10-30T11:32:01.115Z
2,0x0004,2,0x00000000,2020-10-30T11:32:06.886Z,2020-10-30T11:32:06.886Z
1,0x0001,true,0x00000000,2020-10-30T11:32:08.614Z,2020-10-30T11:32:08.614Z
2,0x0004,3,0x00000000,2020-10-30T11:32:13.366Z,2020-10-30T11:32:13.366Z
1,0x0001,false,0x00000000,2020-10-30T11:32:13.865Z,2020-10-30T11:32:13.865Z
2,0x0004,0,0x00000000,2020-10-30T11:32:20.126Z,2020-10-30T11:32:20.126Z
1,0x0001,true,0x00000000,2020-10-30T11:32:20.865Z,2020-10-30T11:32:20.865Z
2,0x0004,1,0x00000000,2020-10-30T11:32:25.365Z,2020-10-30T11:32:25.365Z
1,0x0001,false,0x00000000,2020-10-30T11:32:26.114Z,2020-10-30T11:32:26.114Z
2,0x0004,2,0x00000000,2020-10-30T11:32:31.866Z,2020-10-30T11:32:31.866Z
1,0x0001,true,0x00000000,2020-10-30T11:32:33.613Z,2020-10-30T11:32:33.613Z
2,0x0004,3,0x00000000,2020-10-30T11:32:38.366Z,2020-10-30T11:32:38.366Z
1,0x0001,false,0x00000000,2020-10-30T11:32:38.875Z,2020-10-30T11:32:38.875Z
2,0x0004,0,0x00000000,2020-10-30T11:32:45.114Z,2020-10-30T11:32:45.114Z
1,0x0001,true,0x00000000,2020-10-30T11:32:45.876Z,2020-10-30T11:32:45.876Z
2,0x0004,1,0x00000000,2020-10-30T11:32:50.616Z,2020-10-30T11:32:50.616Z
1,0x0001,false,0x00000000,2020-10-30T11:32:51.126Z,2020-10-30T11:32:51.126Z
2,0x0004,2,0x00000000,2020-10-30T11:32:56.868Z,2020-10-30T11:32:56.868Z
1,0x0001,true,0x00000000,2020-10-30T11:32:58.865Z,2020-10-30T11:32:58.865Z
2,0x0004,3,0x00000000,2020-10-30T11:33:03.367Z,2020-10-30T11:33:03.367Z
1,0x0001,false,0x00000000,2020-10-30T11:33:03.863Z,2020-10-30T11:33:03.863Z
2,0x0004,0,0x00000000,2020-10-30T11:33:10.375Z,2020-10-30T11:33:10.375Z
1,0x0001,true,0x00000000,2020-10-30T11:33:11.114Z,2020-10-30T11:33:11.114Z
2,0x0004,1,0x00000000,2020-10-30T11:33:15.614Z,2020-10-30T11:33:15.614Z
1,0x0001,false,0x00000000,2020-10-30T11:33:16.366Z,2020-10-30T11:33:16.366Z
2,0x0004,2,0x00000000,2020-10-30T11:33:22.118Z,2020-10-30T11:33:22.118Z
1,0x0001,true,0x00000000,2020-10-30T11:33:23.865Z,2020-10-30T11:33:23.865Z
2,0x0004,3,0x00000000,2020-10-30T11:33:28.616Z,2020-10-30T11:33:28.616Z
1,0x0001,false,0x00000000,2020-10-30T11:33:29.115Z,2020-10-30T11:33:29.115Z
2,0x0004,0,0x00000000,2020-10-30T11:33:35.366Z,2020-10-30T11:33:35.366Z
1,0x0001,true,0x00000000,2020-10-30T11:33:36.115Z,2020-10-30T11:33:36.115Z
2,0x0004,1,0x00000000,2020-10-30T11:33:40.617Z,2020-10-30T11:33:40.617Z
1,0x0001,false,0x00000000,2020-10-30T11:33:41.365Z,2020-10-30T11:33:41.365Z
2,0x0004,2,0x00000000,2020-10-30T11:33:47.120Z,2020-10-30T11:33:47.120Z
1,0x0001,true,0x00000000,2020-10-30T11:33:48.866Z,2020-10-30T11:33:48.866Z
2,0x0004,3,0x00000000,2020-10-30T11:33:53.614Z,2020-10-30T11:33:53.614Z
1,0x0001,false,0x00000000,2020-10-30T11:33:54.115Z,2020-10-30T11:33:54.115Z
2,0x0004,0,0x00000000,2020-10-30T11:34:00.373Z,2020-10-30T11:34:00.373Z
1,0x0001,true,0x00000000,2020-10-30T11:34:01.115Z,2020-10-30T11:34:01.115Z
2,0x0004,1,0x00000000,2020-10-30T11:34:05.866Z,2020-10-30T11:34:05.866Z
1,0x0001,false,0x00000000,2020-10-30T11:34:06.367Z,2020-10-30T11:34:06.367Z
2,0x0004,2,0x00000000,2020-10-30T11:34:12.114Z,2020-10-30T11:34:12.114Z
1,0x0001,true,0x00000000,2020-10-30T11:34:14.116Z,2020-10-30T11:34:14.116Z
