,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
54325,flag,560,0x0004,2,0x00000000,2020-10-30T12:25:32.616Z,2020-10-30 12:24:25.616000+00:00
54326,rp,527,0x0007,3198145705,0x00000000,2020-10-30T12:25:32.617Z,2020-10-30 12:24:25.617000+00:00
54327,rp,528,0x0007,3188631049,0x00000000,2020-10-30T12:25:32.620Z,2020-10-30 12:24:25.620000+00:00
54328,rp,529,0x0007,1051185111,0x00000000,2020-10-30T12:25:32.622Z,2020-10-30 12:24:25.622000+00:00
54329,qc,DistanceAbs,0x000b,14.774781099,0x00000000,2020-10-30T12:24:25.656Z,2020-10-30 12:24:25.656000+00:00
54330,qc,DistanceX,0x000b,14.749718189200001,0x00000000,2020-10-30T12:24:25.656Z,2020-10-30 12:24:25.656000+00:00
54331,qc,DistanceY,0x000b,0.860215008259,0x00000000,2020-10-30T12:24:25.656Z,2020-10-30 12:24:25.656000+00:00
54332,qc,ResultCode,0x0006,1.0,0x00000000,2020-10-30T12:24:25.656Z,2020-10-30 12:24:25.656000+00:00
54333,store,DiscSize,0x0003,1,0x00000000,2020-10-30T12:24:25.836Z,2020-10-30 12:24:25.836000+00:00
54334,gate,Speed,0x000b,0,0x00000000,2020-10-30T12:24:25.863Z,2020-10-30 12:24:25.863000+00:00
54335,gate,Position,0x000b,0.3,0x00000000,2020-10-30T12:24:25.863Z,2020-10-30 12:24:25.863000+00:00
54336,gate,Safe,0x0001,true,0x00000000,2020-10-30T12:24:25.863Z,2020-10-30 12:24:25.863000+00:00
54337,rp,527,0x0007,3198146464,0x00000000,2020-10-30T12:25:32.865Z,2020-10-30 12:24:25.865000+00:00
54338,rp,528,0x0007,3188629082,0x00000000,2020-10-30T12:25:32.867Z,2020-10-30 12:24:25.867000+00:00
54339,rp,529,0x0007,1051184546,0x00000000,2020-10-30T12:25:32.868Z,2020-10-30 12:24:25.868000+00:00
54340,qc,ResultCode,0x0006,1.0,0x00000000,2020-10-30T12:24:25.956Z,2020-10-30 12:24:25.956000+00:00
54341,qc,DistanceY,0x000b,0.860215008259,0x00000000,2020-10-30T12:24:25.956Z,2020-10-30 12:24:25.956000+00:00
54342,qc,DistanceX,0x000b,14.749718189200001,0x00000000,2020-10-30T12:24:25.956Z,2020-10-30 12:24:25.956000+00:00
54343,qc,DistanceAbs,0x000b,14.774781099,0x00000000,2020-10-30T12:24:25.956Z,2020-10-30 12:24:25.956000+00:00
54344,rp,527,0x0007,3198146864,0x00000000,2020-10-30T12:25:33.118Z,2020-10-30 12:24:26.118000+00:00
54345,rp,528,0x0007,3188626795,0x00000000,2020-10-30T12:25:33.118Z,2020-10-30 12:24:26.118000+00:00
