PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
1,10,3,0,2020-08-21T10:21:47.265Z,2020-08-21T10:21:47.265Z
2,4,8294,0,2020-08-21T10:21:47.268Z,2020-08-21T10:21:47.268Z
3,10,3.6299999999999999,0,2020-08-21T10:21:47.273Z,2020-08-21T10:21:47.273Z
4,4,10036,0,2020-08-21T10:21:47.275Z,2020-08-21T10:21:47.275Z
5,10,3.7999999999999998,0,2020-08-21T10:21:47.278Z,2020-08-21T10:21:47.278Z
6,4,10506,0,2020-08-21T10:21:47.286Z,2020-08-21T10:21:47.286Z
1,10,3.5999699999999999,0,2020-08-21T10:32:01.763Z,2020-08-21T10:32:01.763Z
1,10,3.9999799999999999,0,2020-08-21T10:32:02.014Z,2020-08-21T10:32:02.014Z
2,4,9953,0,2020-08-21T10:32:01.764Z,2020-08-21T10:32:01.764Z
2,4,11059,0,2020-08-21T10:32:02.014Z,2020-08-21T10:32:02.014Z
3,10,4.2299699999999998,0,2020-08-21T10:32:01.766Z,2020-08-21T10:32:01.766Z
3,10,4.6299900000000003,0,2020-08-21T10:32:02.019Z,2020-08-21T10:32:02.019Z
4,4,11695,0,2020-08-21T10:32:01.766Z,2020-08-21T10:32:01.766Z
4,4,12801,0,2020-08-21T10:32:02.020Z,2020-08-21T10:32:02.020Z
5,10,4.3999699999999997,0,2020-08-21T10:32:01.769Z,2020-08-21T10:32:01.769Z
5,10,4.7999799999999997,0,2020-08-21T10:32:02.022Z,2020-08-21T10:32:02.022Z
6,4,12165,0,2020-08-21T10:32:01.771Z,2020-08-21T10:32:01.771Z
6,4,13271,0,2020-08-21T10:32:02.022Z,2020-08-21T10:32:02.022Z
1,10,4.5999600000000003,0,2020-08-21T10:32:02.265Z,2020-08-21T10:32:02.265Z
1,10,4.9999599999999997,0,2020-08-21T10:32:02.514Z,2020-08-21T10:32:02.514Z
2,4,12718,0,2020-08-21T10:32:02.268Z,2020-08-21T10:32:02.268Z
2,4,13824,0,2020-08-21T10:32:02.514Z,2020-08-21T10:32:02.514Z
3,10,5.2299600000000002,0,2020-08-21T10:32:02.268Z,2020-08-21T10:32:02.268Z
3,10,5.6299700000000001,0,2020-08-21T10:32:02.516Z,2020-08-21T10:32:02.516Z
4,4,14460,0,2020-08-21T10:32:02.271Z,2020-08-21T10:32:02.271Z
4,4,15566,0,2020-08-21T10:32:02.519Z,2020-08-21T10:32:02.519Z
5,10,5.3999600000000001,0,2020-08-21T10:32:02.273Z,2020-08-21T10:32:02.273Z
5,10,5.7999700000000001,0,2020-08-21T10:32:02.519Z,2020-08-21T10:32:02.519Z
