,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
22358,qc,DistanceAbs,11,0.430107504129,0,2020-08-21T10:28:59.475Z,2020-08-21T10:28:59.475Z
22359,rp,530_Rx,7,1010905701.0,0,2020-08-21T10:28:59.518Z,2020-08-21T10:28:59.518Z
22360,rp,531_Ry,7,1078511876.0,0,2020-08-21T10:28:59.520Z,2020-08-21T10:28:59.520Z
22361,gate,Position,11,0.3,0,2020-08-21T10:28:59.522Z,2020-08-21T10:28:59.522Z
22362,gate,Speed,11,0.0,0,2020-08-21T10:28:59.522Z,2020-08-21T10:28:59.522Z
22363,rp,532_Rz,7,3169857141.0,0,2020-08-21T10:28:59.523Z,2020-08-21T10:28:59.523Z
22364,rp,527_x,7,1050940562.0,0,2020-08-21T10:28:59.523Z,2020-08-21T10:28:59.523Z
22365,rp,528_y,7,3188276687.0,0,2020-08-21T10:28:59.525Z,2020-08-21T10:28:59.525Z
22366,rp,529_z,7,1051691790.0,0,2020-08-21T10:28:59.526Z,2020-08-21T10:28:59.526Z
22367,qc,DistanceAbs,11,0.430107504129,0,2020-08-21T10:28:59.675Z,2020-08-21T10:28:59.675Z
22368,qc,DistanceX,11,0.0,0,2020-08-21T10:28:59.675Z,2020-08-21T10:28:59.675Z
22369,qc,DistanceY,11,0.430107504129,0,2020-08-21T10:28:59.675Z,2020-08-21T10:28:59.675Z
22370,gate,Position,11,0.3,0,2020-08-21T10:28:59.722Z,2020-08-21T10:28:59.722Z
22371,gate,Speed,11,0.0,0,2020-08-21T10:28:59.722Z,2020-08-21T10:28:59.722Z
22372,rp,530_Rx,7,1010440983.0,0,2020-08-21T10:28:59.768Z,2020-08-21T10:28:59.768Z
22373,rp,532_Rz,7,3169801277.0,0,2020-08-21T10:28:59.771Z,2020-08-21T10:28:59.771Z
22374,rp,531_Ry,7,1078511309.0,0,2020-08-21T10:28:59.771Z,2020-08-21T10:28:59.771Z
22375,rp,527_x,7,1050943699.0,0,2020-08-21T10:28:59.774Z,2020-08-21T10:28:59.774Z
22376,rp,528_y,7,3188272575.0,0,2020-08-21T10:28:59.776Z,2020-08-21T10:28:59.776Z
22377,rp,529_z,7,1051694363.0,0,2020-08-21T10:28:59.776Z,2020-08-21T10:28:59.776Z
22378,qc,DistanceY,11,0.430107504129,0,2020-08-21T10:28:59.875Z,2020-08-21T10:28:59.875Z
22379,qc,DistanceX,11,0.0,0,2020-08-21T10:28:59.875Z,2020-08-21T10:28:59.875Z
22380,qc,DistanceAbs,11,0.430107504129,0,2020-08-21T10:28:59.875Z,2020-08-21T10:28:59.875Z
22381,gate,Speed,11,0.0,0,2020-08-21T10:28:59.922Z,2020-08-21T10:28:59.922Z
22382,gate,Position,11,0.3,0,2020-08-21T10:28:59.922Z,2020-08-21T10:28:59.922Z
