;level_0;PrimaryKey;DataType; Value ;StatusCode;SourceTimeStamp;ServerTimeStamp
0;gate;Position;11; 0.30 ;0;2020-08-21T10:21:26.122Z;2020-08-21T10:21:26.122Z
1;gate;Speed;11;0;0;2020-08-21T10:21:26.122Z;2020-08-21T10:21:26.122Z
2;gate;Speed;11;0;0;2020-08-21T10:21:26.322Z;2020-08-21T10:21:26.322Z
3;gate;Position;11; 0.30 ;0;2020-08-21T10:21:26.322Z;2020-08-21T10:21:26.322Z
4;gate;Speed;11;0;0;2020-08-21T10:21:26.522Z;2020-08-21T10:21:26.522Z
5;gate;Position;11; 0.30 ;0;2020-08-21T10:21:26.522Z;2020-08-21T10:21:26.522Z
6;gate;Position;11; 0.30 ;0;2020-08-21T10:21:26.722Z;2020-08-21T10:21:26.722Z
7;gate;Speed;11;0;0;2020-08-21T10:21:26.722Z;2020-08-21T10:21:26.722Z
8;gate;Position;11; 0.30 ;0;2020-08-21T10:21:26.922Z;2020-08-21T10:21:26.922Z
9;gate;Speed;11;0;0;2020-08-21T10:21:26.922Z;2020-08-21T10:21:26.922Z
10;gate;Position;11; 0.30 ;0;2020-08-21T10:21:27.122Z;2020-08-21T10:21:27.122Z
11;gate;Speed;11;0;0;2020-08-21T10:21:27.122Z;2020-08-21T10:21:27.122Z
12;gate;Speed;11;0;0;2020-08-21T10:21:27.322Z;2020-08-21T10:21:27.322Z
13;gate;Position;11; 0.20 ;0;2020-08-21T10:21:27.322Z;2020-08-21T10:21:27.322Z
14;gate;Speed;11;0;0;2020-08-21T10:21:27.522Z;2020-08-21T10:21:27.522Z
15;gate;Position;11; 0.30 ;0;2020-08-21T10:21:27.522Z;2020-08-21T10:21:27.522Z
16;gate;Speed;11;0;0;2020-08-21T10:21:27.722Z;2020-08-21T10:21:27.722Z
17;gate;Position;11; 0.30 ;0;2020-08-21T10:21:27.722Z;2020-08-21T10:21:27.722Z
18;gate;Position;11; 0.30 ;0;2020-08-21T10:21:27.922Z;2020-08-21T10:21:27.922Z
19;gate;Speed;11;0;0;2020-08-21T10:21:27.922Z;2020-08-21T10:21:27.922Z
20;gate;Position;11; 0.30 ;0;2020-08-21T10:21:28.122Z;2020-08-21T10:21:28.122Z
21;gate;Speed;11;0;0;2020-08-21T10:21:28.122Z;2020-08-21T10:21:28.122Z
22;gate;Position;11; 0.30 ;0;2020-08-21T10:21:28.322Z;2020-08-21T10:21:28.322Z
23;gate;Speed;11;0;0;2020-08-21T10:21:28.322Z;2020-08-21T10:21:28.322Z
24;gate;Position;11; 0.20 ;0;2020-08-21T10:21:28.522Z;2020-08-21T10:21:28.522Z
25;gate;Speed;11;0;0;2020-08-21T10:21:28.522Z;2020-08-21T10:21:28.522Z
26;gate;Position;11; 0.30 ;0;2020-08-21T10:21:28.722Z;2020-08-21T10:21:28.722Z
27;gate;Speed;11;0;0;2020-08-21T10:21:28.722Z;2020-08-21T10:21:28.722Z
28;gate;Position;11; 0.30 ;0;2020-08-21T10:21:28.922Z;2020-08-21T10:21:28.922Z
29;gate;Speed;11;0;0;2020-08-21T10:21:28.922Z;2020-08-21T10:21:28.922Z
30;gate;Position;11; 0.20 ;0;2020-08-21T10:21:29.122Z;2020-08-21T10:21:29.122Z
31;gate;Speed;11;0;0;2020-08-21T10:21:29.122Z;2020-08-21T10:21:29.122Z
