PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
1,7,1022236568,0,2020-08-21T10:21:51.766Z,2020-08-21T10:21:51.766Z
1,7,1022217407,0,2020-08-21T10:21:52.019Z,2020-08-21T10:21:52.019Z
2,7,1078513157,0,2020-08-21T10:21:51.770Z,2020-08-21T10:21:51.770Z
2,7,1078513201,0,2020-08-21T10:21:52.022Z,2020-08-21T10:21:52.022Z
3,7,3172445318,0,2020-08-21T10:21:51.774Z,2020-08-21T10:21:51.774Z
3,7,3172387813,0,2020-08-21T10:21:52.022Z,2020-08-21T10:21:52.022Z
4,7,3198141183,0,2020-08-21T10:21:51.774Z,2020-08-21T10:21:51.774Z
4,7,3198141783,0,2020-08-21T10:21:52.025Z,2020-08-21T10:21:52.025Z
5,7,3187232175,0,2020-08-21T10:21:51.777Z,2020-08-21T10:21:51.777Z
5,7,3187233147,0,2020-08-21T10:21:52.027Z,2020-08-21T10:21:52.027Z
6,7,1053890511,0,2020-08-21T10:21:51.789Z,2020-08-21T10:21:51.789Z
6,7,1053889392,0,2020-08-21T10:21:52.027Z,2020-08-21T10:21:52.027Z
7,10,109.90600000000001,0,2020-08-21T10:21:51.792Z,2020-08-21T10:21:51.792Z
7,10,119.953,0,2020-08-21T10:21:52.030Z,2020-08-21T10:21:52.030Z
1,7,1022248718,0,2020-08-21T10:21:52.270Z,2020-08-21T10:21:52.270Z
1,7,1022369693,0,2020-08-21T10:21:52.518Z,2020-08-21T10:21:52.518Z
2,7,1078512885,0,2020-08-21T10:21:52.270Z,2020-08-21T10:21:52.270Z
2,7,1078512624,0,2020-08-21T10:21:52.521Z,2020-08-21T10:21:52.521Z
3,7,3172334495,0,2020-08-21T10:21:52.273Z,2020-08-21T10:21:52.273Z
3,7,3172316039,0,2020-08-21T10:21:52.521Z,2020-08-21T10:21:52.521Z
4,7,3198143114,0,2020-08-21T10:21:52.275Z,2020-08-21T10:21:52.275Z
4,7,3198143842,0,2020-08-21T10:21:52.523Z,2020-08-21T10:21:52.523Z
5,7,3187235238,0,2020-08-21T10:21:52.275Z,2020-08-21T10:21:52.275Z
5,7,3187230363,0,2020-08-21T10:21:52.526Z,2020-08-21T10:21:52.526Z
6,7,1053887619,0,2020-08-21T10:21:52.278Z,2020-08-21T10:21:52.278Z
6,7,1053887288,0,2020-08-21T10:21:52.526Z,2020-08-21T10:21:52.526Z
7,10,129.96100000000001,0,2020-08-21T10:21:52.278Z,2020-08-21T10:21:52.278Z
7,10,139.74199999999999,0,2020-08-21T10:21:52.526Z,2020-08-21T10:21:52.526Z
1,7,1022350171,0,2020-08-21T10:21:52.769Z,2020-08-21T10:21:52.769Z
1,7,1022376209,0,2020-08-21T10:21:53.021Z,2020-08-21T10:21:53.021Z
2,7,1078513411,0,2020-08-21T10:21:52.769Z,2020-08-21T10:21:52.769Z
2,7,1078512861,0,2020-08-21T10:21:53.022Z,2020-08-21T10:21:53.022Z
3,7,3172363746,0,2020-08-21T10:21:52.772Z,2020-08-21T10:21:52.772Z
3,7,3172234980,0,2020-08-21T10:21:53.024Z,2020-08-21T10:21:53.024Z
4,7,3198142822,0,2020-08-21T10:21:52.774Z,2020-08-21T10:21:52.774Z
4,7,3198142346,0,2020-08-21T10:21:53.025Z,2020-08-21T10:21:53.025Z
5,7,3187223645,0,2020-08-21T10:21:52.774Z,2020-08-21T10:21:52.774Z
5,7,3187171468,0,2020-08-21T10:21:53.027Z,2020-08-21T10:21:53.027Z
6,7,1053812714,0,2020-08-21T10:21:52.777Z,2020-08-21T10:21:52.777Z
6,7,1052148936,0,2020-08-21T10:21:53.027Z,2020-08-21T10:21:53.027Z
7,10,149.89099999999999,0,2020-08-21T10:21:52.779Z,2020-08-21T10:21:52.779Z
7,10,150.703,0,2020-08-21T10:21:53.030Z,2020-08-21T10:21:53.030Z
1,7,1022332070,0,2020-08-21T10:21:53.270Z,2020-08-21T10:21:53.270Z
1,7,1022252605,0,2020-08-21T10:21:53.518Z,2020-08-21T10:21:53.518Z
2,7,1078513629,0,2020-08-21T10:21:53.270Z,2020-08-21T10:21:53.270Z
2,7,1078512936,0,2020-08-21T10:21:53.521Z,2020-08-21T10:21:53.521Z
3,7,3172394296,0,2020-08-21T10:21:53.273Z,2020-08-21T10:21:53.273Z
3,7,3172331354,0,2020-08-21T10:21:53.523Z,2020-08-21T10:21:53.523Z
4,7,3198141916,0,2020-08-21T10:21:53.275Z,2020-08-21T10:21:53.275Z
4,7,3198142573,0,2020-08-21T10:21:53.523Z,2020-08-21T10:21:53.523Z
5,7,3187140476,0,2020-08-21T10:21:53.275Z,2020-08-21T10:21:53.275Z
5,7,3187140320,0,2020-08-21T10:21:53.526Z,2020-08-21T10:21:53.526Z
6,7,1051182250,0,2020-08-21T10:21:53.280Z,2020-08-21T10:21:53.280Z
6,7,1051185153,0,2020-08-21T10:21:53.526Z,2020-08-21T10:21:53.526Z
7,10,150.68799999999999,0,2020-08-21T10:21:53.283Z,2020-08-21T10:21:53.283Z
7,10,147.953,0,2020-08-21T10:21:53.528Z,2020-08-21T10:21:53.528Z
1,7,1022302462,0,2020-08-21T10:21:53.769Z,2020-08-21T10:21:53.769Z
1,7,1022252828,0,2020-08-21T10:21:54.018Z,2020-08-21T10:21:54.018Z
2,7,1078513081,0,2020-08-21T10:21:53.771Z,2020-08-21T10:21:53.771Z
2,7,1078511872,0,2020-08-21T10:21:54.020Z,2020-08-21T10:21:54.020Z
3,7,3172344785,0,2020-08-21T10:21:53.774Z,2020-08-21T10:21:53.774Z
3,7,3172270852,0,2020-08-21T10:21:54.023Z,2020-08-21T10:21:54.023Z
4,7,3198143045,0,2020-08-21T10:21:53.776Z,2020-08-21T10:21:53.776Z
4,7,3198143396,0,2020-08-21T10:21:54.023Z,2020-08-21T10:21:54.023Z
5,7,3187138250,0,2020-08-21T10:21:53.776Z,2020-08-21T10:21:53.776Z
5,7,3187140759,0,2020-08-21T10:21:54.025Z,2020-08-21T10:21:54.025Z
6,7,1051186151,0,2020-08-21T10:21:53.779Z,2020-08-21T10:21:53.779Z
6,7,1051183370,0,2020-08-21T10:21:54.026Z,2020-08-21T10:21:54.026Z
7,10,139.625,0,2020-08-21T10:21:53.779Z,2020-08-21T10:21:53.779Z
7,10,129.922,0,2020-08-21T10:21:54.028Z,2020-08-21T10:21:54.028Z
1,7,1022352837,0,2020-08-21T10:21:54.266Z,2020-08-21T10:21:54.266Z
1,7,1022313768,0,2020-08-21T10:21:54.519Z,2020-08-21T10:21:54.519Z
2,7,1078512551,0,2020-08-21T10:21:54.269Z,2020-08-21T10:21:54.269Z
2,7,1078513435,0,2020-08-21T10:21:54.522Z,2020-08-21T10:21:54.522Z
3,7,3172344544,0,2020-08-21T10:21:54.271Z,2020-08-21T10:21:54.271Z
3,7,3172423212,0,2020-08-21T10:21:54.522Z,2020-08-21T10:21:54.522Z
4,7,3198142383,0,2020-08-21T10:21:54.274Z,2020-08-21T10:21:54.274Z
4,7,3198141131,0,2020-08-21T10:21:54.525Z,2020-08-21T10:21:54.525Z
5,7,3187135929,0,2020-08-21T10:21:54.274Z,2020-08-21T10:21:54.274Z
5,7,3186917763,0,2020-08-21T10:21:54.525Z,2020-08-21T10:21:54.525Z
6,7,1051186164,0,2020-08-21T10:21:54.276Z,2020-08-21T10:21:54.276Z
6,7,1051672687,0,2020-08-21T10:21:54.527Z,2020-08-21T10:21:54.527Z
7,10,122.25,0,2020-08-21T10:21:54.279Z,2020-08-21T10:21:54.279Z
7,10,114.28100000000001,0,2020-08-21T10:21:54.530Z,2020-08-21T10:21:54.530Z
1,7,1022377427,0,2020-08-21T10:21:54.770Z,2020-08-21T10:21:54.770Z
1,7,1021963276,0,2020-08-21T10:21:55.018Z,2020-08-21T10:21:55.018Z
2,7,1078512375,0,2020-08-21T10:21:54.770Z,2020-08-21T10:21:54.770Z
2,7,1078511472,0,2020-08-21T10:21:55.021Z,2020-08-21T10:21:55.021Z
3,7,3172339626,0,2020-08-21T10:21:54.773Z,2020-08-21T10:21:54.773Z
3,7,3172264554,0,2020-08-21T10:21:55.021Z,2020-08-21T10:21:55.021Z
4,7,3198140821,0,2020-08-21T10:21:54.775Z,2020-08-21T10:21:54.775Z
4,7,3197919500,0,2020-08-21T10:21:55.024Z,2020-08-21T10:21:55.024Z
5,7,3186738874,0,2020-08-21T10:21:54.775Z,2020-08-21T10:21:54.775Z
5,7,3187464588,0,2020-08-21T10:21:55.026Z,2020-08-21T10:21:55.026Z
6,7,1053459181,0,2020-08-21T10:21:54.778Z,2020-08-21T10:21:54.778Z
6,7,1053773350,0,2020-08-21T10:21:55.026Z,2020-08-21T10:21:55.026Z
7,10,106.01600000000001,0,2020-08-21T10:21:54.778Z,2020-08-21T10:21:54.778Z
7,10,97.414100000000005,0,2020-08-21T10:21:55.029Z,2020-08-21T10:21:55.029Z
1,7,1018160914,0,2020-08-21T10:21:55.269Z,2020-08-21T10:21:55.269Z
1,7,1005021457,0,2020-08-21T10:21:55.520Z,2020-08-21T10:21:55.520Z
2,7,1078502636,0,2020-08-21T10:21:55.269Z,2020-08-21T10:21:55.269Z
2,7,1078486114,0,2020-08-21T10:21:55.522Z,2020-08-21T10:21:55.522Z
3,7,3171865024,0,2020-08-21T10:21:55.271Z,2020-08-21T10:21:55.271Z
3,7,3171039173,0,2020-08-21T10:21:55.524Z,2020-08-21T10:21:55.524Z
4,7,3196229685,0,2020-08-21T10:21:55.274Z,2020-08-21T10:21:55.274Z
4,7,3189997610,0,2020-08-21T10:21:55.525Z,2020-08-21T10:21:55.525Z
5,7,3189721049,0,2020-08-21T10:21:55.274Z,2020-08-21T10:21:55.274Z
5,7,3191251704,0,2020-08-21T10:21:55.525Z,2020-08-21T10:21:55.525Z
6,7,1054137091,0,2020-08-21T10:21:55.277Z,2020-08-21T10:21:55.277Z
6,7,1054503585,0,2020-08-21T10:21:55.528Z,2020-08-21T10:21:55.528Z
7,10,88.953100000000006,0,2020-08-21T10:21:55.279Z,2020-08-21T10:21:55.279Z
7,10,81.1875,0,2020-08-21T10:21:55.530Z,2020-08-21T10:21:55.530Z
1,7,3150224128,0,2020-08-21T10:21:55.773Z,2020-08-21T10:21:55.773Z
1,7,3157328949,0,2020-08-21T10:21:56.019Z,2020-08-21T10:21:56.019Z
2,7,1078472424,0,2020-08-21T10:21:55.773Z,2020-08-21T10:21:55.773Z
2,7,1078467943,0,2020-08-21T10:21:56.021Z,2020-08-21T10:21:56.021Z
3,7,3170689303,0,2020-08-21T10:21:55.776Z,2020-08-21T10:21:55.776Z
3,7,3170058977,0,2020-08-21T10:21:56.024Z,2020-08-21T10:21:56.024Z
4,7,3184799015,0,2020-08-21T10:21:55.776Z,2020-08-21T10:21:55.776Z
4,7,3182778661,0,2020-08-21T10:21:56.024Z,2020-08-21T10:21:56.024Z
5,7,3190642169,0,2020-08-21T10:21:55.778Z,2020-08-21T10:21:55.778Z
5,7,3190235438,0,2020-08-21T10:21:56.026Z,2020-08-21T10:21:56.026Z
6,7,1054481528,0,2020-08-21T10:21:55.781Z,2020-08-21T10:21:55.781Z
6,7,1054420220,0,2020-08-21T10:21:56.027Z,2020-08-21T10:21:56.027Z
7,10,72.664100000000005,0,2020-08-21T10:21:55.784Z,2020-08-21T10:21:55.784Z
7,10,64.429699999999997,0,2020-08-21T10:21:56.029Z,2020-08-21T10:21:56.029Z
1,7,3155513925,0,2020-08-21T10:21:56.269Z,2020-08-21T10:21:56.269Z
1,7,3155557676,0,2020-08-21T10:21:56.518Z,2020-08-21T10:21:56.518Z
2,7,1078469006,0,2020-08-21T10:21:56.270Z,2020-08-21T10:21:56.270Z
2,7,1078473555,0,2020-08-21T10:21:56.520Z,2020-08-21T10:21:56.520Z
3,7,3169402017,0,2020-08-21T10:21:56.272Z,2020-08-21T10:21:56.272Z
3,7,3168613603,0,2020-08-21T10:21:56.523Z,2020-08-21T10:21:56.523Z
4,7,3180848845,0,2020-08-21T10:21:56.275Z,2020-08-21T10:21:56.275Z
4,7,3169562446,0,2020-08-21T10:21:56.523Z,2020-08-21T10:21:56.523Z
5,7,3190551983,0,2020-08-21T10:21:56.275Z,2020-08-21T10:21:56.275Z
5,7,3190992316,0,2020-08-21T10:21:56.525Z,2020-08-21T10:21:56.525Z
6,7,1054423819,0,2020-08-21T10:21:56.277Z,2020-08-21T10:21:56.277Z
6,7,1054428149,0,2020-08-21T10:21:56.526Z,2020-08-21T10:21:56.526Z
7,10,56.203099999999999,0,2020-08-21T10:21:56.280Z,2020-08-21T10:21:56.280Z
7,10,48.046900000000001,0,2020-08-21T10:21:56.528Z,2020-08-21T10:21:56.528Z
1,7,3156834356,0,2020-08-21T10:21:56.768Z,2020-08-21T10:21:56.768Z
1,7,3157072214,0,2020-08-21T10:21:57.022Z,2020-08-21T10:21:57.022Z
2,7,1078471855,0,2020-08-21T10:21:56.769Z,2020-08-21T10:21:56.769Z
2,7,1078466987,0,2020-08-21T10:21:57.022Z,2020-08-21T10:21:57.022Z
3,7,3169303400,0,2020-08-21T10:21:56.771Z,2020-08-21T10:21:56.771Z
3,7,3169897481,0,2020-08-21T10:21:57.025Z,2020-08-21T10:21:57.025Z
4,7,1017275577,0,2020-08-21T10:21:56.774Z,2020-08-21T10:21:56.774Z
4,7,1024633069,0,2020-08-21T10:21:57.025Z,2020-08-21T10:21:57.025Z
5,7,3190587637,0,2020-08-21T10:21:56.774Z,2020-08-21T10:21:56.774Z
5,7,3190238429,0,2020-08-21T10:21:57.027Z,2020-08-21T10:21:57.027Z
6,7,1054422805,0,2020-08-21T10:21:56.776Z,2020-08-21T10:21:56.776Z
6,7,1054421434,0,2020-08-21T10:21:57.030Z,2020-08-21T10:21:57.030Z
7,10,39.695300000000003,0,2020-08-21T10:21:56.779Z,2020-08-21T10:21:56.779Z
7,10,30.9297,0,2020-08-21T10:21:57.030Z,2020-08-21T10:21:57.030Z
1,7,3156508762,0,2020-08-21T10:21:57.268Z,2020-08-21T10:21:57.268Z
1,7,3156096308,0,2020-08-21T10:21:57.519Z,2020-08-21T10:21:57.519Z
2,7,1078471780,0,2020-08-21T10:21:57.273Z,2020-08-21T10:21:57.273Z
2,7,1078474514,0,2020-08-21T10:21:57.521Z,2020-08-21T10:21:57.521Z
3,7,3169592076,0,2020-08-21T10:21:57.273Z,2020-08-21T10:21:57.273Z
3,7,3168683481,0,2020-08-21T10:21:57.524Z,2020-08-21T10:21:57.524Z
4,7,1020290063,0,2020-08-21T10:21:57.276Z,2020-08-21T10:21:57.276Z
4,7,3162724745,0,2020-08-21T10:21:57.524Z,2020-08-21T10:21:57.524Z
5,7,3190478663,0,2020-08-21T10:21:57.276Z,2020-08-21T10:21:57.276Z
5,7,3190981578,0,2020-08-21T10:21:57.526Z,2020-08-21T10:21:57.526Z
6,7,1054420763,0,2020-08-21T10:21:57.278Z,2020-08-21T10:21:57.278Z
6,7,1054426717,0,2020-08-21T10:21:57.527Z,2020-08-21T10:21:57.527Z
7,10,22.515599999999999,0,2020-08-21T10:21:57.281Z,2020-08-21T10:21:57.281Z
7,10,14.390599999999999,0,2020-08-21T10:21:57.529Z,2020-08-21T10:21:57.529Z
1,7,3155044024,0,2020-08-21T10:21:57.769Z,2020-08-21T10:21:57.769Z
1,7,3155322288,0,2020-08-21T10:21:58.020Z,2020-08-21T10:21:58.020Z
2,7,1078471152,0,2020-08-21T10:21:57.770Z,2020-08-21T10:21:57.770Z
2,7,1078469813,0,2020-08-21T10:21:58.021Z,2020-08-21T10:21:58.021Z
3,7,3168994317,0,2020-08-21T10:21:57.772Z,2020-08-21T10:21:57.772Z
3,7,3169573905,0,2020-08-21T10:21:58.023Z,2020-08-21T10:21:58.023Z
4,7,3179921924,0,2020-08-21T10:21:57.775Z,2020-08-21T10:21:57.775Z
4,7,3182753990,0,2020-08-21T10:21:58.023Z,2020-08-21T10:21:58.023Z
5,7,3190673395,0,2020-08-21T10:21:57.775Z,2020-08-21T10:21:57.775Z
5,7,3190250016,0,2020-08-21T10:21:58.026Z,2020-08-21T10:21:58.026Z
6,7,1054424005,0,2020-08-21T10:21:57.778Z,2020-08-21T10:21:57.778Z
6,7,1054417316,0,2020-08-21T10:21:58.028Z,2020-08-21T10:21:58.028Z
7,10,5.4765600000000001,0,2020-08-21T10:21:57.780Z,2020-08-21T10:21:57.780Z
7,10,0.296875,0,2020-08-21T10:21:58.031Z,2020-08-21T10:21:58.031Z
1,7,3155427828,0,2020-08-21T10:21:58.269Z,2020-08-21T10:21:58.269Z
1,7,3155948355,0,2020-08-21T10:21:58.522Z,2020-08-21T10:21:58.522Z
2,7,1078468758,0,2020-08-21T10:21:58.269Z,2020-08-21T10:21:58.269Z
2,7,1078473265,0,2020-08-21T10:21:58.522Z,2020-08-21T10:21:58.522Z
3,7,3169584621,0,2020-08-21T10:21:58.271Z,2020-08-21T10:21:58.271Z
3,7,3168615305,0,2020-08-21T10:21:58.524Z,2020-08-21T10:21:58.524Z
4,7,3181576799,0,2020-08-21T10:21:58.274Z,2020-08-21T10:21:58.274Z
4,7,3172840711,0,2020-08-21T10:21:58.525Z,2020-08-21T10:21:58.525Z
5,7,3190448315,0,2020-08-21T10:21:58.274Z,2020-08-21T10:21:58.274Z
5,7,3190967992,0,2020-08-21T10:21:58.527Z,2020-08-21T10:21:58.527Z
6,7,1054422439,0,2020-08-21T10:21:58.277Z,2020-08-21T10:21:58.277Z
6,7,1054426424,0,2020-08-21T10:21:58.528Z,2020-08-21T10:21:58.528Z
7,10,0.28125,0,2020-08-21T10:21:58.279Z,2020-08-21T10:21:58.279Z
1,7,3157141005,0,2020-08-21T10:21:58.768Z,2020-08-21T10:21:58.768Z
1,7,3156765246,0,2020-08-21T10:21:59.019Z,2020-08-21T10:21:59.019Z
2,7,1078472529,0,2020-08-21T10:21:58.770Z,2020-08-21T10:21:58.770Z
2,7,1078467852,0,2020-08-21T10:21:59.021Z,2020-08-21T10:21:59.021Z
3,7,3169175501,0,2020-08-21T10:21:58.773Z,2020-08-21T10:21:58.773Z
3,7,3169857237,0,2020-08-21T10:21:59.024Z,2020-08-21T10:21:59.024Z
4,7,1012307675,0,2020-08-21T10:21:58.775Z,2020-08-21T10:21:58.775Z
4,7,1024353170,0,2020-08-21T10:21:59.024Z,2020-08-21T10:21:59.024Z
