PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
1,10,29.332999999999998,0,2020-08-21T10:21:54.031Z,2020-08-21T10:21:54.031Z
1,10,29.634499999999999,0,2020-08-21T10:21:54.279Z,2020-08-21T10:21:54.279Z
2,10,-76.642099999999999,0,2020-08-21T10:21:54.031Z,2020-08-21T10:21:54.031Z
2,10,-75.858400000000003,0,2020-08-21T10:21:54.279Z,2020-08-21T10:21:54.279Z
3,10,-75.496700000000004,0,2020-08-21T10:21:54.034Z,2020-08-21T10:21:54.034Z
3,10,-75.978999999999999,0,2020-08-21T10:21:54.284Z,2020-08-21T10:21:54.284Z
4,10,30.297599999999999,0,2020-08-21T10:21:54.036Z,2020-08-21T10:21:54.036Z
4,10,30.659300000000002,0,2020-08-21T10:21:54.287Z,2020-08-21T10:21:54.287Z
1,10,29.031700000000001,0,2020-08-21T10:21:54.530Z,2020-08-21T10:21:54.530Z
1,10,29.3933,0,2020-08-21T10:21:54.783Z,2020-08-21T10:21:54.783Z
2,10,-77.244900000000001,0,2020-08-21T10:21:54.532Z,2020-08-21T10:21:54.532Z
2,10,-77.968299999999999,0,2020-08-21T10:21:54.783Z,2020-08-21T10:21:54.783Z
3,10,-75.255600000000001,0,2020-08-21T10:21:54.535Z,2020-08-21T10:21:54.535Z
3,10,-75.496700000000004,0,2020-08-21T10:21:54.786Z,2020-08-21T10:21:54.786Z
4,10,30.478400000000001,0,2020-08-21T10:21:54.535Z,2020-08-21T10:21:54.535Z
4,10,30.7195,0,2020-08-21T10:21:54.788Z,2020-08-21T10:21:54.788Z
1,10,29.091899999999999,0,2020-08-21T10:21:55.029Z,2020-08-21T10:21:55.029Z
1,10,29.152200000000001,0,2020-08-21T10:21:55.282Z,2020-08-21T10:21:55.282Z
2,10,-75.195300000000003,0,2020-08-21T10:21:55.031Z,2020-08-21T10:21:55.031Z
2,10,-78.2697,0,2020-08-21T10:21:55.284Z,2020-08-21T10:21:55.284Z
3,10,-75.557000000000002,0,2020-08-21T10:21:55.031Z,2020-08-21T10:21:55.031Z
3,10,-75.6173,0,2020-08-21T10:21:55.285Z,2020-08-21T10:21:55.285Z
4,10,30.418099999999999,0,2020-08-21T10:21:55.034Z,2020-08-21T10:21:55.034Z
4,10,29.875599999999999,0,2020-08-21T10:21:55.287Z,2020-08-21T10:21:55.287Z
1,10,29.091899999999999,0,2020-08-21T10:21:55.530Z,2020-08-21T10:21:55.530Z
1,10,28.790500000000002,0,2020-08-21T10:21:55.786Z,2020-08-21T10:21:55.786Z
2,10,-80.439800000000005,0,2020-08-21T10:21:55.533Z,2020-08-21T10:21:55.533Z
2,10,-81.283799999999999,0,2020-08-21T10:21:55.786Z,2020-08-21T10:21:55.786Z
